run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p10__h4__nored__r0,v100_s0_p10,100,0,0.1,0.09863945578231292,100,265,h4,4,False,True,0,2002666364,ok,,,24.93956920801429,,2026-08-29T06:09:44+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00031337502878159285,254,11,0,64,73,163,20,496,265,390.359375,1.3983299663299866,1.0,86.0,,True,True
v100_s0_p10__h4__red__r0,v100_s0_p10,100,0,0.1,0.09863945578231292,100,265,h4,4,True,True,0,2002666364,ok,,,24.058407708012965,,2026-08-29T06:09:44+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00027758401120081544,254,11,0,82,89,91,19,205,254,392.9375,1.3843703703703896,1.0,134.0,,True,True
v100_s0_p10__h2+3__nored__r0,v100_s0_p10,100,0,0.1,0.09863945578231292,100,265,h2+3,2+3,False,True,0,2002666364,ok,,,5.544067542010453,,2026-08-29T06:09:45+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003089999663643539,254,11,0,49,46,145,14,372,265,179.921875,1.3936111111111293,1.0,114.0,,True,True
v100_s0_p10__h2+3__red__r0,v100_s0_p10,100,0,0.1,0.09863945578231292,100,265,h2+3,2+3,True,True,0,2002666364,ok,,,5.542020249995403,,2026-08-29T06:09:45+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00028062501223757863,254,11,0,52,54,131,14,350,254,179.75,1.408414141414163,1.0,94.0,,True,True
v100_s0_p10__h2+3+4__nored__r0,v100_s0_p10,100,0,0.1,0.09863945578231292,100,265,h2+3+4,2+3+4,False,True,0,2002666364,ok,,,27.108744667028077,,2026-08-29T06:09:49+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.000281583983451128,254,11,0,64,73,167,20,496,265,395.53125,1.416528619528639,1.0,106.0,,True,True
v100_s0_p10__h2+3+4__red__r0,v100_s0_p10,100,0,0.1,0.09863945578231292,100,265,h2+3+4,2+3+4,True,True,0,2002666364,ok,,,26.461164416978136,,2026-08-29T06:09:49+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00031450000824406743,254,11,0,82,89,98,19,204,254,396.015625,1.3958282828283095,1.0,98.0,,True,True
v100_s0_p30__h2__nored__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h2,2,False,True,0,822628483,ok,,,2.2599597909720615,,2026-08-29T06:09:52+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00040800002170726657,164,40,0,9,9,169,51,548,206,185.0625,1.3976697931698006,1.0,38.0,,True,True
v100_s0_p30__h2__red__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h2,2,True,True,0,822628483,ok,,,1.4498204169794917,,2026-08-29T06:09:52+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0007402499904856086,164,40,0,26,19,102,17,278,164,161.703125,1.4293929773929792,1.0,54.0,,True,True
v100_s0_p30__h3__nored__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h3,3,False,True,0,822628483,ok,,,2.7380012499634176,,2026-08-29T06:09:55+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00036466598976403475,164,40,0,28,27,119,15,336,206,170.265625,1.4400769600769656,1.0,70.0,,True,True
v100_s0_p30__h3__red__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h3,3,True,True,0,822628483,ok,,,2.2407295419834554,,2026-08-29T06:09:54+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003992909914813936,164,40,0,38,45,78,11,153,164,164.90625,1.4656620971621037,1.0,62.0,,True,True
