graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v300_s0_p0,300,0.0,v300_s0_p0__h2__nored__r0,h2,False,0,1.3428535860271222,324.0,68.95053862500936,010101001000011101110001000110110011000011000110110000101100001100111011001010011000111010010101001000100010101111111100110010000100010101100110010110011000110010111000001101111000011001100111010111110000001011010011111100010100000111111010101000100010010101101110110001111000011001010110100001010101001101111100010111011000011011010110101011100101010100011011011101010011100001001011001011011000101011111010100100001001011110010110111001001001101100011001001000101101011010011100001101001010010110000010000100010101001110111101010011000100011011001011100100011101110110111101010100011111100101010010011111010011011001101100001111110001000111100100100001110000111011101101110110010011110000110001001101010111110101000011010110010110101011111110011000110001101010110000111100001001100100101010010100001110000000011101110110010011101111000111100001011111000110100111010100100110000010111000000100
v300_s1_p0,300,0.0,v300_s1_p0__h2__nored__r0,h2,False,0,1.3535410097145872,382.0,90.57705495896516,010110010101011110000010010100000111100101111010000111110000100100110100011011101010001110011000001001111110000100100000111111101010011001110001000010001110000010101010001011110100111011010100110110010110110111010101111101000111100111010110001001110001001101100010011111100101100111111000011100000011010011001100001111011110000001110111000110001100101110001110001000111001011100111001111001000110111100110010101010101100101110101001101010100111001011010010110010001101110001101011010101110001101001111000010010010001000110010011100101100101110010001001101001110001110010010100110010010100010101111100100000001101100110011001110001101100110010101010100100010101001001000110001010110011010001111100111000001011001101011101010001100101000100011000011000111101000010001111111011010011101001100010010000110100100110010011101100110111001011010101001110000110100101110011000100110110101110101001100100
v300_s0_p10,300,0.1,v300_s0_p10__h2+3+4__nored__r0,h2+3+4,False,0,1.3547238944626905,366.0,445.8208218750078,1001101011100111001010011101000100111001101000000101010100111001000101100101100101110010001001000010001001010010111101111001101000011001000011111000000111010010011011110000001010110011110100100101110010100101101100010010100011011000110110010010001001101100011001001101000101011010001010110010111110000001100001001011101011100100010110101101011000010010101101010100101010101101000110011000001101000010101010011010010100101110101000111011000100101100100111010010101000111100100110011011000101110011011101001001100000100101110010001011011000101001111000010111100110010011010100001011011010011010101110110000101101100100100010010110100111001010010101010011110010101110100101110001110110011110001101110001010001000101110111010100110110101101001101110110000101011011000110010110110100111000100101000011111000011
v300_s1_p10,300,0.1,v300_s1_p10__h2__red__r0,h2,True,0,1.360403885968794,388.0,103.64893050002865,1010101011000101101111000111001000011110110100010001001011010000011110000110011100111010010001101101001001010001111111101000001000110100011110010101110011000000001000110000011011010101111000100010111010011100111110110111010110010110011001101001011010110111000010100100011101110010101001000010101011110001010010000110010111000111000000111010000011000011001100011010010101111001001001001110101100110100000010011010110101101001010000101101010101100101010110100010111101011110010100011010111110000110101010101000101001011011101001011010110100011110000100001100100101110001110110101001100101000100101010110101100110111100010110110101001110011010010010100101101110011100100011110110000110101001010011010111111011101011001001010011111001011001000011110111010010101011010011011001001001011101010100100000010000010
v300_s0_p30,300,0.3,v300_s0_p30__h2__nored__r0,h2,False,0,1.3751672329276852,174.0,20.745910666009877,10100011011001100110010011001000110110011110100101000111010000101110110111111010001000001000100111010100101011011010000110110100000101011001110011100100001101000101010010101011001100001100011100011110100011011011010110111100010101101101001100101010100010110101010110001100110111110101011011001101001000100111010100010110100101010010110011110001000011011001111000100110101110010110010001101110101010101100000101011000110110001011011011001100101000101010011101101010010000010010010111000110011010100011001100110001100101111001110110001010101100100011110101110100010010101001011101010101100111000101110111011011001110000101001000
v300_s1_p30,300,0.3,v300_s1_p30__h2+3__nored__r0,h2+3,False,0,1.4298408318731495,204.0,35.68832866696175,10111111001100110101101001110001101100011010111011001110001110101101001010001110100110010001010110100101000011001100111000011011100000010101110100011100001011000100100111000111011110010011111100001110000010110100001011010101101010010110100011000110110011000010110010011010110011001010111001010010110110010011000001011010110100100011110110100101000110111100110101011001001110000101011011011110000100111100111010101010011001001010000100111101010010011010001111001110101010001101010110000100110101100011001001000110110110100101110100011111110110011001101101110110010100010101001001110110010000101101101001100001001011101000101100
v300_s0_p50,300,0.5,v300_s0_p50__h2__nored__r0,h2,False,0,1.5845321063179605,76.0,8.488084916956723,101011010011001110111000101000001101010110100001000111011011100001111001011101010011001100110001110111011100001100101100110000100010111101101110100100100011111100100010111010001110000110101011000110000101010001101111001101000001101011010100011010011011101001010110101101010010010110101010111010001111001011011001010010111010000100110000110010001110011010000100010011010111000001100101111000100110011100101100101010010001000010100001001101011010010
v300_s1_p50,300,0.5,v300_s1_p50__h3__nored__r0,h3,False,0,1.6183221917435384,94.0,9.882496832986362,110010011010010110001001011000010011011000110101110000011110111100010111001010110010101011000101110000111001001001101001000101001011001011010000100110100101001110000110010010110111010101101000110010110010101001011001100011110011111000110101101010101001011010010110111010101001111101010000011011110110010011010011011001011000110001011111000101011100110100000100010001101111010010101101111100111100101011011000110101111010111000100100101001011101001
v400_s0_p0,400,0.0,v400_s0_p0__h2__nored__r0,h2,False,0,1.3532672007401787,472.0,247.1565955830156,010100100110011000100111100100010011010000001100000101101111111100101100110011100100000100110101010010011010001001010110100001101110010100100001101110000100110000101110110110110100101001110110100011111100100100010110111001101011100000011010010111101000001110010001000110000110011000111100110001100000110000111100001001100010101001100010110101011010001010111000001011001010011111010010010011001010010000111100001101000000011011101110000111011010000101101100100011101101000101000101011011010000111110001110100111110110100000101101011000010101110010101010010111100101000101000100101101001101100010110110010101101000000100010001011010101011111000101011000110110000001101000100111010011100011110101001101001010100101001000100111000111010100000011001110001110100000011111001100100111011110011010001101000000111001101010100100011100111010101011101010100001010111101010010010010001011111011100110100110101110001011000001110110101010011110101010000010001001110100101011001011000110000011010010001111100100101100110001001011110111111001001001011001001101101000011000110010011111000010111100010011100110101010110110111000100010110111000111100101010011101001010111001001100011111000101001100110111111100010
v400_s1_p0,400,0.0,v400_s1_p0__h2__nored__r0,h2,False,0,1.3504032999167115,444.0,211.07964570901822,011111001100100000001101100000111011000111010100110000110011011100101101100101101000010010011100110010101100001110001110011100011000001010000110110000000110010000101011110111000000011001111001100001111001011010110001010110100011101010110011101101110100010001111010001010100100111111011010101011100011100001100010111100101101100101100001110001010000101010101110101000101111110110001000110010100011100000111011110010001100110011100000101111001110101101000110110001110110000110100000001101011000101111000010010011101101011011001010010000110001001101011000010000001101111111101000111100110100001111011110011000001001111011000011110011001000010110100011100100010110111011010100010111010011010001100011100111111110000111101001100010110110000110001100110001011111010011000010011011010110010110101100000101100001000101110010010100001011111001011010010110000111011100010001100110011100110011111010101101001111000000100000100001101001100110110011010011001111010100001001100111111011010100111101010110100010010111101111100011000110011111011101111000011010011101100101010100110110010110011010111111001100011011010101010011010111001000100101001010000001100000101001010100011010011010101110100000100110101111
