hop_key,use_reduction,vertices,n_runs,pred_sec_per_run,measured_sec_per_run,exponent_b,total_hours_sequential,total_hours_parallel
h2,False,100,200,2.554357661932337,3.0451330727519235,2.700201542723624,0.14190875899624095,0.014190875899624094
h2,False,200,200,16.60058397563806,13.091410161498061,2.700201542723624,0.9222546653132255,0.09222546653132255
h2,False,300,200,49.61411572306387,43.25622116148588,2.700201542723624,2.7563397623924373,0.27563397623924374
h2,False,400,200,107.88598340756245,110.23437315112096,2.700201542723624,5.993665744864581,0.599366574486458
h2,False,500,200,197.07956329351643,235.31988342711702,2.700201542723624,10.94886462741758,1.094886462741758
h2,True,100,200,2.2590453290444397,2.610850906370615,2.781723833449492,0.12550251828024664,0.012550251828024665
h2,True,200,200,15.534856964779385,12.605367583251791,2.781723833449492,0.8630476091544103,0.08630476091544102
h2,True,300,200,47.98931060465602,44.79159968224849,2.781723833449492,2.666072811369779,0.2666072811369779
h2,True,400,200,106.8291006884032,103.88151223438763,2.781723833449492,5.934950038244622,0.5934950038244622
h2,True,500,200,198.73138777569415,233.48572324488487,2.781723833449492,11.040632654205229,1.104063265420523
h3,False,100,200,3.6721270543723366,4.1001445156143745,2.731468371114136,0.2040070585762409,0.02040070585762409
h3,False,200,200,24.387743078758984,21.6173152239935,2.731468371114136,1.3548746154866103,0.13548746154866104
h3,False,300,200,73.8174971041675,61.264965140369895,2.731468371114136,4.100972061342639,0.4100972061342639
h3,False,400,200,161.96662143467674,183.835267823124,2.731468371114136,8.998145635259819,0.8998145635259819
h3,False,500,200,297.9422947897419,319.5687948436389,2.731468371114136,16.552349710541215,1.6552349710541214
h3,True,100,200,3.3318247952936666,3.772013369743945,2.7830111197745113,0.1851013775163148,0.018510137751631482
h3,True,200,200,22.932530573955372,19.616977926998516,2.7830111197745113,1.2740294763308542,0.1274029476330854
h3,True,300,200,70.87872770582612,62.00111394799751,2.7830111197745113,3.937707094768118,0.3937707094768118
h3,True,400,200,157.84172062956503,166.36349140100356,2.7830111197745113,8.76898447942028,0.8768984479420279
h3,True,500,200,293.7131901174715,328.9519474216286,2.7830111197745113,16.31739945097064,1.631739945097064
h4,False,100,200,17.654822682254597,18.888089223641146,2.689258334397089,0.9808234823474775,0.09808234823474775
h4,False,200,200,113.87038389126937,107.98649294824281,2.689258334397089,6.326132438403854,0.6326132438403854
h4,False,300,200,338.81737297029093,311.9066183803661,2.689258334397089,18.823187387238388,1.8823187387238387
h4,False,400,200,734.4431921470415,678.1778259269995,2.689258334397089,40.80239956372453,4.080239956372453
h4,False,500,200,1338.3640723111464,1551.8389796248666,2.689258334397089,74.35355957284146,7.4353559572841466
h4,True,100,200,16.99580189388657,18.219822885374015,2.6883700370576395,0.9442112163270316,0.09442112163270316
h4,True,200,200,109.55234566458908,104.05944182813255,2.6883700370576395,6.086241425810504,0.6086241425810505
h4,True,300,200,325.85181582422973,296.430617984508,2.6883700370576395,18.10287865690165,1.810287865690165
h4,True,400,200,706.1577038580721,655.9636887238739,2.6883700370576395,39.23098354767067,3.923098354767067
h4,True,500,200,1286.5648344304695,1495.1623860781256,2.6883700370576395,71.47582413502609,7.147582413502609
h2+3,False,100,200,3.9383361692226058,4.453208104125224,2.697790582103352,0.21879645384570034,0.021879645384570035
h2+3,False,200,200,25.55222195323526,22.2670811559874,2.697790582103352,1.4195678862908478,0.14195678862908478
h2+3,False,300,200,76.29323168947457,63.130322687502485,2.697790582103352,4.238512871637476,0.4238512871637476
h2+3,False,400,200,165.78474225989714,185.51464159875468,2.697790582103352,9.210263458883174,0.9210263458883174
h2+3,False,500,200,302.6826160329031,331.7470123228777,2.697790582103352,16.81570089071684,1.681570089071684
h2+3,True,100,200,3.557161728377992,4.065183120008442,2.7498229583926226,0.19762009602099956,0.019762009602099957
h2+3,True,200,200,23.926700000491167,20.36165016162704,2.7498229583926226,1.329261111138398,0.1329261111138398
h2+3,True,300,200,72.96298467615334,62.37255843737512,2.7498229583926226,4.0534991486751855,0.40534991486751853
h2+3,True,400,200,160.93925905768413,170.66561300511967,2.7498229583926226,8.941069947649117,0.8941069947649117
h2+3,True,500,200,297.2674626769075,337.18303218761866,2.7498229583926226,16.514859037605973,1.6514859037605973
h2+3+4,False,100,200,19.00494532488695,20.343802869756473,2.6522663167372107,1.055830295827053,0.1055830295827053
h2+3+4,False,200,200,119.47535850115388,113.45627420837991,2.6522663167372107,6.637519916730771,0.6637519916730771
h2+3+4,False,300,200,350.2025123763351,321.56378760949156,2.6522663167372107,19.455695132018615,1.9455695132018616
h2+3+4,False,400,200,751.0866800698993,690.9597647968767,2.6522663167372107,41.727037781661075,4.172703778166108
h2+3+4,False,500,200,1357.441815779705,1580.865628833366,2.6522663167372107,75.41343420998362,7.541343420998362
h2+3+4,True,100,200,18.345396416035918,19.737289203127148,2.6553419520128756,1.019188689779773,0.1019188689779773
h2+3+4,True,200,200,115.57520619771171,109.18262264050281,2.6553419520128756,6.4208447887617615,0.6420844788761761
h2+3+4,True,300,200,339.19323699438615,307.7898484947291,2.6553419520128756,18.844068721910343,1.8844068721910343
h2+3+4,True,400,200,728.1188143728294,677.9352272135075,2.6553419520128756,40.45104524293497,4.045104524293497
h2+3+4,True,500,200,1316.8353494950816,1533.519036093625,2.6553419520128756,73.15751941639341,7.315751941639341
