graph_id,vertices,remove_ratio_target,hop_key,rep,apsp_sum_off,apsp_sum_on,elapsed_sec_off,elapsed_sec_on,ok_off,ok_on,qubo_vars_total_off,qubo_vars_total_on,strongly_connected_off,strongly_connected_on,both_sc,diff_apsp,diff_time,ratio_time,diff_qubo_vars
v100_s0_p0,100,0.0,h2,0,1.3734191919192114,1.3734191919192114,4.855009457969572,4.826942791987676,True,True,161,161,True,True,True,0.0,-0.02806666598189622,0.9942190295971877,0
v100_s0_p0,100,0.0,h3,0,1.3846969696969826,1.3846969696969826,6.73602791596204,6.6925790419918485,True,True,161,161,True,True,True,0.0,-0.043448873970191926,0.993549778220599,0
v100_s0_p0,100,0.0,h4,0,1.3742575757575917,1.3742575757575917,40.70192716602469,39.82474116701633,True,True,149,149,True,True,True,0.0,-0.8771859990083613,0.978448538924698,0
v100_s0_p0,100,0.0,h2+3,0,1.39097306397308,1.39097306397308,7.332641541957855,7.326139417011291,True,True,161,161,True,True,True,0.0,-0.006502124946564436,0.9991132629476897,0
v100_s0_p0,100,0.0,h2+3+4,0,1.377462962962982,1.377462962962982,42.82128058298258,42.81392154202331,True,True,149,149,True,True,True,0.0,-0.007359040959272534,0.999828145238557,0
v100_s0_p10,100,0.1,h2,0,1.3824360269360512,1.382919191919201,3.438698749989271,3.342528000008315,True,True,194,179,True,True,True,0.0004831649831498197,-0.09617074998095632,0.9720328074736828,-15
v100_s0_p10,100,0.1,h3,0,1.3906111111111243,1.4078131313131488,5.163264958013315,5.116596832987852,True,True,145,131,True,True,True,0.017202020202024437,-0.04666812502546236,0.9909615087730421,-14
v100_s0_p10,100,0.1,h4,0,1.3983299663299866,1.3843703703703896,24.93956920801429,24.058407708012965,True,True,163,91,True,True,True,-0.01395959595959706,-0.8811615000013262,0.9646681346958405,-72
v100_s0_p10,100,0.1,h2+3,0,1.3936111111111293,1.408414141414163,5.544067542010453,5.542020249995403,True,True,145,131,True,True,True,0.01480303030303376,-0.0020472920150496066,0.9996307238323603,-14
v100_s0_p10,100,0.1,h2+3+4,0,1.416528619528639,1.3958282828283095,27.108744667028077,26.461164416978136,True,True,167,98,True,True,True,-0.020700336700329558,-0.6475802500499412,0.9761117581059523,-69
v100_s0_p30,100,0.3,h2,0,1.3976697931698006,1.4293929773929792,2.2599597909720615,1.4498204169794917,True,True,169,102,True,True,True,0.03172318422317866,-0.8101393739925697,0.6415248725977952,-67
v100_s0_p30,100,0.3,h3,0,1.4400769600769656,1.4656620971621037,2.7380012499634176,2.2407295419834554,True,True,119,78,True,True,True,0.0255851370851381,-0.49727170797996223,0.8183814897868997,-41
v100_s0_p30,100,0.3,h4,0,1.4584357864357989,1.4581556036556038,7.043672666011844,5.877971624955535,True,True,182,76,True,True,True,-0.0002801827801950374,-1.165701041056309,0.8345038027276283,-106
v100_s0_p30,100,0.3,h2+3,0,1.4396149591149676,1.457699134199135,3.0225923330290243,2.5146149580250494,True,True,119,81,True,True,True,0.018084175084167375,-0.5079773750039749,0.8319398320927663,-38
v100_s0_p30,100,0.3,h2+3+4,0,1.4565050505050645,1.4574627224627235,7.3144658749806695,6.573692832957022,True,True,184,81,True,True,True,0.0009576719576589454,-0.7407730420236476,0.8987249302020149,-103
