graph_id,vertices,remove_ratio_target,hop_key,use_reduction,rep,apsp_sum_dnc,elapsed_sec_dnc,qubo_vars_total_dnc,n_subgraphs_dnc,strongly_connected_dnc,ok_dnc,apsp_sum_whole,elapsed_sec_whole,qubo_vars_total_whole,n_subgraphs_whole,strongly_connected_whole,ok_whole,both_sc,diff_apsp,ratio_time
v100_s0_p0,100,0.0,h2,False,0,1.3734191919192114,4.855009457969572,161,49,True,True,1.3697255892256066,2.846752292010933,294.0,1.0,True,True,True,0.0036936026936047472,1.7054555366810702
v100_s0_p0,100,0.0,h2,True,0,1.3734191919192114,4.826942791987676,161,49,True,True,1.3697255892256066,2.944970457989257,294.0,1.0,True,True,True,0.0036936026936047472,1.6390462521934352
v100_s0_p0,100,0.0,h3,False,0,1.3846969696969826,6.73602791596204,161,49,True,True,1.3337659932660093,5.259763415961061,294.0,1.0,True,True,True,0.05093097643097333,1.2806712742100088
v100_s0_p0,100,0.0,h3,True,0,1.3846969696969826,6.6925790419918485,161,49,True,True,1.3337659932660093,5.289699083019514,294.0,1.0,True,True,True,0.05093097643097333,1.2652097854631705
v100_s0_p0,100,0.0,h4,False,0,1.3742575757575917,40.70192716602469,149,81,True,True,,62.179937250039075,6583.0,1.0,False,True,False,,0.6545829565950408
v100_s0_p0,100,0.0,h4,True,0,1.3742575757575917,39.82474116701633,149,81,True,True,,62.49823354103137,6583.0,1.0,False,True,False,,0.6372138684667075
v100_s0_p0,100,0.0,h2+3,False,0,1.39097306397308,7.332641541957855,161,49,True,True,1.3322239057239182,5.464137792005204,294.0,1.0,True,True,True,0.058749158249161715,1.3419576557323525
v100_s0_p0,100,0.0,h2+3,True,0,1.39097306397308,7.326139417011291,161,49,True,True,1.3322239057239182,5.336247792001814,294.0,1.0,True,True,True,0.058749158249161715,1.3729009038883104
v100_s0_p0,100,0.0,h2+3+4,False,0,1.377462962962982,42.82128058298258,149,81,True,True,,64.45619241695385,6583.0,1.0,False,True,False,,0.6643470390863383
v100_s0_p0,100,0.0,h2+3+4,True,0,1.377462962962982,42.81392154202331,149,81,True,True,,65.07129349996103,6583.0,1.0,False,True,False,,0.6579540568384268
v100_s0_p10,100,0.1,h2,False,0,1.3824360269360512,3.438698749989271,194,23,True,True,1.370183501683517,2.645263459009584,265.0,1.0,True,True,True,0.012252525252534063,1.2999456588255138
v100_s0_p10,100,0.1,h2,True,0,1.382919191919201,3.342528000008315,179,27,True,True,1.393932659932682,2.26827483298257,254.0,1.0,True,True,True,-0.01101346801348102,1.4735992091457464
v100_s0_p10,100,0.1,h3,False,0,1.3906111111111243,5.163264958013315,145,49,True,True,1.3470303030303248,4.073608041973785,265.0,1.0,True,True,True,0.04358080808079956,1.2674918413386573
v100_s0_p10,100,0.1,h3,True,0,1.4078131313131488,5.116596832987852,131,52,True,True,1.3409646464646658,3.8141697499668226,254.0,1.0,True,True,True,0.06684848484848294,1.3414706655445419
v100_s0_p10,100,0.1,h4,False,0,1.3983299663299866,24.93956920801429,163,64,True,True,,36.19421737501398,4820.0,1.0,False,True,False,,0.6890484452146456
v100_s0_p10,100,0.1,h4,True,0,1.3843703703703896,24.058407708012965,91,82,True,True,,35.46232183295069,4811.0,1.0,False,True,False,,0.6784216730461935
v100_s0_p10,100,0.1,h2+3,False,0,1.3936111111111293,5.544067542010453,145,49,True,True,1.3538535353535597,4.263002082996536,265.0,1.0,True,True,True,0.03975757575756966,1.3005078191548605
v100_s0_p10,100,0.1,h2+3,True,0,1.408414141414163,5.542020249995403,131,52,True,True,1.3565016835017039,3.9410811659763567,254.0,1.0,True,True,True,0.05191245791245924,1.4062182473784277
v100_s0_p10,100,0.1,h2+3+4,False,0,1.416528619528639,27.108744667028077,167,64,True,True,,38.44407237501582,4820.0,1.0,False,True,False,,0.7051475817282461
v100_s0_p10,100,0.1,h2+3+4,True,0,1.3958282828283095,26.461164416978136,98,82,True,True,,37.46521799999755,4811.0,1.0,False,True,False,,0.706286145645272
v100_s0_p30,100,0.3,h2,False,0,1.3976697931698006,2.2599597909720615,169,9,True,True,1.4225019240019285,2.0922697500209324,206.0,1.0,True,True,True,-0.024832130832127985,1.0801474288625792
v100_s0_p30,100,0.3,h2,True,0,1.4293929773929792,1.4498204169794917,102,26,True,True,1.4256649831649812,0.9938895410159603,164.0,1.0,True,True,True,0.003727994227997966,1.4587339509554311
v100_s0_p30,100,0.3,h3,False,0,1.4400769600769656,2.7380012499634176,119,28,True,True,1.3976671476671514,2.518962583038956,206.0,1.0,True,True,True,0.04240981240981423,1.0869559033545495
v100_s0_p30,100,0.3,h3,True,0,1.4656620971621037,2.2407295419834554,78,38,True,True,1.4414112554112535,1.5063927079900168,164.0,1.0,True,True,True,0.02425084175085024,1.4874803430064834
v100_s0_p30,100,0.3,h4,False,0,1.4584357864357989,7.043672666011844,182,36,True,True,,9.805619375023525,2332.0,1.0,False,True,False,,0.7183302141987278
v100_s0_p30,100,0.3,h4,True,0,1.4581556036556038,5.877971624955535,76,47,True,True,,9.14206241699867,2267.0,1.0,False,True,False,,0.642959034498177
v100_s0_p30,100,0.3,h2+3,False,0,1.4396149591149676,3.0225923330290243,119,28,True,True,1.387764069264075,2.6986358749563806,206.0,1.0,True,True,True,0.0518508898508927,1.1200445236346974
v100_s0_p30,100,0.3,h2+3,True,0,1.457699134199135,2.5146149580250494,81,38,True,True,1.4352041847041899,1.5611106249853037,164.0,1.0,True,True,True,0.022494949494945127,1.6107858839591986
v100_s0_p30,100,0.3,h2+3+4,False,0,1.4565050505050645,7.3144658749806695,184,36,True,True,,10.701178457995411,2332.0,1.0,False,True,False,,0.6835196612869912
v100_s0_p30,100,0.3,h2+3+4,True,0,1.4574627224627235,6.573692832957022,81,47,True,True,,9.827257000026293,2267.0,1.0,False,True,False,,0.6689244855344104
v100_s0_p50,100,0.5,h2,False,0,1.811931727083254,1.4905608330154791,114,4,True,True,1.7804991837567603,1.0410416669910774,147.0,1.0,True,True,True,0.0314325433264937,1.4317974777355906
v100_s0_p50,100,0.5,h2,True,0,1.9805043836634855,0.6307744579971768,66,3,True,True,1.7861461403355325,0.33670874999370426,85.0,1.0,True,True,True,0.19435824332795293,1.8733533298703136
v100_s0_p50,100,0.5,h3,False,0,1.9781534901686417,1.5337192920269445,79,11,True,True,1.7317619703528808,1.1910877079935744,147.0,1.0,True,True,True,0.2463915198157609,1.2876627654990613
v100_s0_p50,100,0.5,h3,True,0,1.8462939751045875,0.738982415990904,46,14,True,True,1.798938770825134,0.4549564169719815,85.0,1.0,True,True,True,0.04735520427945339,1.6242927639295484
v100_s0_p50,100,0.5,h4,False,0,1.884278637748348,1.9731457910384052,90,16,True,True,,1.7653182499925606,740.0,1.0,False,True,False,,1.1177280872991147
v100_s0_p50,100,0.5,h4,True,0,1.8161620971621026,1.1759890000103042,38,22,True,True,,1.405489833035972,596.0,1.0,False,True,False,,0.8367111396815106
v100_s0_p50,100,0.5,h2+3,False,0,1.9559495568965282,1.7122154160169885,79,11,True,True,1.7128456863002297,1.2904892079532146,147.0,1.0,True,True,True,0.24310387059629845,1.3267956101180065
v100_s0_p50,100,0.5,h2+3,True,0,1.845687754165033,0.8235641670180485,46,14,True,True,1.8674167322576405,0.4726058749947697,85.0,1.0,True,True,True,-0.021728978092607543,1.7426024740533808
v100_s0_p50,100,0.5,h2+3+4,False,0,1.8841712106636437,2.489893165999092,90,16,True,True,,1.9546222499920987,740.0,1.0,False,True,False,,1.2738487787137167
v100_s0_p50,100,0.5,h2+3+4,True,0,1.8110469704257661,1.5217147080111317,41,22,True,True,,1.5439538339851424,596.0,1.0,False,True,False,,0.9855959903175286
v100_s1_p0,100,0.0,h2,False,0,1.3562828282828496,4.907236542028841,185,40,True,True,1.3513114478114643,2.7787650829995982,294.0,1.0,True,True,True,0.004971380471385345,1.7659774739689826
v100_s1_p0,100,0.0,h2,True,0,1.3562828282828496,4.9884359579882585,185,40,True,True,1.3513114478114643,2.9319346669944935,294.0,1.0,True,True,True,0.004971380471385345,1.7014144326421403
v100_s1_p0,100,0.0,h3,False,0,1.3877239057239161,6.898707833955996,136,65,True,True,1.304643097643116,5.041368041012902,294.0,1.0,True,True,True,0.0830808080808001,1.3684197975297834
v100_s1_p0,100,0.0,h3,True,0,1.3877239057239161,7.097437874996103,136,65,True,True,1.304643097643116,5.145324917044491,294.0,1.0,True,True,True,0.0830808080808001,1.3793954685903334
v100_s1_p0,100,0.0,h4,False,0,1.3704107744107856,39.758826125005726,145,87,True,True,,59.48122216598131,6575.0,1.0,False,True,False,,0.6684265164232742
v100_s1_p0,100,0.0,h4,True,0,1.3704107744107856,39.71271979098674,145,87,True,True,,59.41410395799903,6575.0,1.0,False,True,False,,0.6684055997724113
v100_s1_p0,100,0.0,h2+3,False,0,1.385220538720552,7.383565208991058,136,65,True,True,1.313109427609439,5.250330083013978,294.0,1.0,True,True,True,0.07211111111111301,1.4063049545929664
v100_s1_p0,100,0.0,h2+3,True,0,1.385220538720552,7.462278084014542,136,65,True,True,1.313109427609439,5.329361042007804,294.0,1.0,True,True,True,0.07211111111111301,1.4002200311058632
v100_s1_p0,100,0.0,h2+3+4,False,0,1.3758451178451325,42.87264162499923,145,87,True,True,,60.39196183299646,6575.0,1.0,False,True,False,,0.7099064233673369
v100_s1_p0,100,0.0,h2+3+4,True,0,1.3758451178451325,42.36161887500202,145,87,True,True,,60.99748245801311,6575.0,1.0,False,True,False,,0.6944814305108599
v100_s1_p10,100,0.1,h2,False,0,1.3631245791246003,3.5521312080090865,209,20,True,True,1.373791245791259,2.5797305000014603,265.0,1.0,True,True,True,-0.01066666666665883,1.3769388732687682
v100_s1_p10,100,0.1,h2,True,0,1.390609427609444,3.3215285419719294,167,28,True,True,1.3770404040404203,2.19573674997082,253.0,1.0,True,True,True,0.013569023569023786,1.5127171060083002
v100_s1_p10,100,0.1,h3,False,0,1.3783299663299795,5.2464744170429185,140,52,True,True,1.3276531986532114,4.28745845798403,265.0,1.0,True,True,True,0.0506767676767681,1.2236793588688948
v100_s1_p10,100,0.1,h3,True,0,1.3969107744107914,5.286231332982425,120,55,True,True,1.343979797979815,3.8354802090325393,253.0,1.0,True,True,True,0.05293097643097644,1.3782449771304706
v100_s1_p10,100,0.1,h4,False,0,1.376942760942772,26.354519625019748,135,74,True,True,,39.2167501670192,5095.0,1.0,False,True,False,,0.672022018978604
v100_s1_p10,100,0.1,h4,True,0,1.373052188552211,26.819822999997996,78,88,True,True,,38.582643792033195,5098.0,1.0,False,True,False,,0.6951266259658425
v100_s1_p10,100,0.1,h2+3,False,0,1.38826767676769,5.656166667002253,140,52,True,True,1.3239461279461417,4.361905542027671,265.0,1.0,True,True,True,0.06432154882154828,1.2967192004742343
v100_s1_p10,100,0.1,h2+3,True,0,1.3932508417508584,5.561094875039998,121,55,True,True,1.3356212121212339,3.9538725829916075,253.0,1.0,True,True,True,0.05762962962962459,1.4064931932713731
v100_s1_p10,100,0.1,h2+3+4,False,0,1.3890892255892353,28.956369958992582,138,74,True,True,,40.874255416041706,5095.0,1.0,False,True,False,,0.7084256254764271
v100_s1_p10,100,0.1,h2+3+4,True,0,1.398208754208766,28.904810333042406,87,88,True,True,,39.86137554096058,5098.0,1.0,False,True,False,,0.7251332885725563
v100_s1_p30,100,0.3,h2,False,0,1.4451560846560945,2.190079207997769,169,11,True,True,1.4499810004810108,2.0898565409588628,206.0,1.0,True,True,True,-0.004824915824916287,1.047956720987615
