vertices,remove_ratio_target,hop_key,use_reduction,best_mean,best_std,n_graphs_with_sc
100,0.0,h2,False,1.3648510101010305,0.012117238932149943,2
100,0.0,h2,True,1.3648510101010305,0.012117238932149943,2
100,0.0,h3,False,1.3862104377104494,0.0021403669908625377,2
100,0.0,h3,True,1.3862104377104494,0.0021403669908625377,2
100,0.0,h4,False,1.3723341750841886,0.0027200993182040943,2
100,0.0,h4,True,1.3723341750841886,0.0027200993182040943,2
100,0.0,h2+3,False,1.388096801346816,0.004067649615009332,2
100,0.0,h2+3,True,1.388096801346816,0.004067649615009332,2
100,0.0,h2+3+4,False,1.3766540404040573,0.0011439892537409018,2
100,0.0,h2+3+4,True,1.3766540404040573,0.0011439892537409018,2
100,0.1,h2,False,1.3727803030303258,0.013655255702007114,2
100,0.1,h2,True,1.3867643097643225,0.0054378178054936875,2
100,0.1,h3,False,1.384470538720552,0.00868408075548137,2
100,0.1,h3,True,1.4023619528619702,0.0077091304965729674,2
100,0.1,h4,False,1.3876363636363793,0.015123037959928915,2
100,0.1,h4,True,1.3787112794613003,0.008003163114336508,2
100,0.1,h2+3,False,1.3909393939394097,0.0037783786590710254,2
100,0.1,h2+3,True,1.4008324915825108,0.010722072017086413,2
100,0.1,h2+3+4,False,1.402808922558937,0.019402581526201373,2
100,0.1,h2+3+4,True,1.3970185185185378,0.0016832474555412893,2
100,0.3,h2,False,1.4214129389129475,0.03357787872335944,2
100,0.3,h2,True,1.4464666907166959,0.024145876942470307,2
100,0.3,h3,False,1.4380094997595085,0.002923830420616225,2
100,0.3,h3,True,1.484181457431466,0.026190330459405848,2
100,0.3,h4,False,1.4771827801827913,0.026512252810720026,2
100,0.3,h4,True,1.4700034872534913,0.016755437669550195,2
100,0.3,h2+3,False,1.442868566618575,0.004601295858240411,2
100,0.3,h2+3,True,1.4839781144781194,0.03716409031587515,2
100,0.3,h2+3+4,False,1.4762174122174239,0.027877489280022955,2
100,0.3,h2+3+4,True,1.476775853775858,0.02731289223492755,2
100,0.5,h2,False,1.7170092847668685,0.1342406052974101,2
100,0.5,h2,True,1.9890116351101312,0.012031070374364579,2
100,0.5,h3,False,1.8085082462430933,0.23991460475160234,2
100,0.5,h3,True,1.812599800311923,0.047650758964755506,2
100,0.5,h4,False,1.7570487778215083,0.1799301934473662,2
100,0.5,h4,True,1.7914372185054028,0.03496625872433395,2
100,0.5,h2+3,False,1.7946226533006828,0.22815069504090107,2
100,0.5,h2+3,True,1.808264373533314,0.052924652439227636,2
100,0.5,h2+3+4,False,1.7576554979812555,0.17892023672873134,2
100,0.5,h2+3+4,True,1.7977590770621097,0.01879191901025061,2
200,0.0,h2,False,1.3480551866475254,0.006489976291568034,2
200,0.0,h2,True,1.3480551866475254,0.006489976291568034,2
200,0.0,h3,False,1.373111300550371,0.02401959163757616,2
200,0.0,h3,True,1.373111300550371,0.02401959163757616,2
200,0.0,h4,False,1.375924742761421,0.00519771707536418,2
200,0.0,h4,True,1.375924742761421,0.00519771707536418,2
200,0.0,h2+3,False,1.3722621440535945,0.004866837125457797,2
200,0.0,h2+3,True,1.3722621440535945,0.004866837125457797,2
200,0.0,h2+3+4,False,1.3862074060780043,0.013532575399000695,2
200,0.0,h2+3+4,True,1.3862074060780043,0.013532575399000695,2
200,0.1,h2,False,1.3638909128978116,0.005134645993123424,2
200,0.1,h2,True,1.3768245991864054,0.01696506359310924,2
200,0.1,h3,False,1.3936584111031038,0.009757955137055298,2
200,0.1,h3,True,1.383206478822676,0.01881586779248808,2
200,0.1,h4,False,1.3892241265853036,0.0005217852444434776,2
200,0.1,h4,True,1.3956328667145441,0.012263201129432577,2
200,0.1,h2+3,False,1.3946751914333293,0.013580671858097882,2
200,0.1,h2+3,True,1.3823702440775156,0.025729955868486774,2
200,0.1,h2+3+4,False,1.3853141301746805,0.0015195435387416914,2
200,0.1,h2+3+4,True,1.3942260708303538,0.014022507843341116,2
