vertices,remove_ratio_target,hop_key,use_reduction,k,best_mean,best_std,sc_frac,n_graphs
100,0.0,h2,False,1,2.015299319501753,0.03767275656564581,1.0,10
100,0.0,h2,False,2,1.9791440760294037,0.050406330087224824,1.0,10
100,0.0,h2,False,3,1.95037347837979,0.04996229643219752,1.0,10
100,0.0,h2,False,4,1.9267234418247106,0.0511713098668794,1.0,10
100,0.0,h2,False,5,1.9243720537052176,0.04809847656239092,1.0,10
100,0.0,h2,True,1,2.065590517485961,0.09414248510699037,1.0,10
100,0.0,h2,True,2,1.9974133121754758,0.08206425726625188,1.0,10
100,0.0,h2,True,3,1.9828335877795247,0.07383558095867994,1.0,10
100,0.0,h2,True,4,1.9335758110127617,0.0671235382037185,1.0,10
100,0.0,h2,True,5,1.9335758110127617,0.0671235382037185,1.0,10
100,0.0,h2+3,False,1,1.7258435144170654,0.010011550480941137,1.0,10
100,0.0,h2+3,False,2,1.716212225708897,0.00822262468048857,1.0,10
100,0.0,h2+3,False,3,1.7087471827163294,0.010797345508534062,1.0,10
100,0.0,h2+3,False,4,1.7038997325068899,0.009747616113997949,1.0,10
100,0.0,h2+3,False,5,1.7036783919615943,0.00959788587493132,1.0,10
100,0.0,h2+3,True,1,1.7207183991806336,0.029732470209969965,1.0,10
100,0.0,h2+3,True,2,1.7112975466771576,0.028864790579372013,1.0,10
100,0.0,h2+3,True,3,1.7023595107140506,0.02002022134355458,1.0,10
100,0.0,h2+3,True,4,1.6989122900487825,0.017863109469482382,1.0,10
100,0.0,h2+3,True,5,1.6921017441508237,0.010986073841519435,1.0,10
100,0.0,h2+3+4,False,1,1.855409931140148,0.026683902500332164,1.0,10
100,0.0,h2+3+4,False,2,1.8266173601708047,0.02978356924437377,1.0,10
100,0.0,h2+3+4,False,3,1.8075536960997372,0.02706784020933151,1.0,10
100,0.0,h2+3+4,False,4,1.8075536960997372,0.02706784020933151,1.0,10
100,0.0,h2+3+4,False,5,1.8012824885066323,0.01963872585396516,1.0,10
100,0.0,h2+3+4,True,1,1.807695414902312,0.04884390266280641,1.0,10
100,0.0,h2+3+4,True,2,1.7820846569467015,0.026342384894667906,1.0,10
100,0.0,h2+3+4,True,3,1.7770692707429923,0.019932625096940316,1.0,10
100,0.0,h2+3+4,True,4,1.776676549420269,0.019716300720478228,1.0,10
100,0.0,h2+3+4,True,5,1.7740778120508274,0.01650856731500388,1.0,10
100,0.0,h3,False,1,1.721500125344151,0.013871836678204515,1.0,10
100,0.0,h3,False,2,1.7134670589769243,0.014971335173151313,1.0,10
100,0.0,h3,False,3,1.7102086521158348,0.010604248418358588,1.0,10
100,0.0,h3,False,4,1.7061815740499349,0.006218748110317289,1.0,10
100,0.0,h3,False,5,1.7023923666467682,0.010039444114475516,1.0,10
100,0.0,h3,True,1,1.7387500497764408,0.032291963906096906,1.0,10
100,0.0,h3,True,2,1.7246325789178958,0.02045404219117279,1.0,10
100,0.0,h3,True,3,1.7113991541997813,0.01598184909681185,1.0,10
100,0.0,h3,True,4,1.6952895653608617,0.01689781820620132,1.0,10
100,0.0,h3,True,5,1.6923310577262938,0.012617511972926761,1.0,10
100,0.0,h4,False,1,1.83767348022355,0.04441806136380043,1.0,10
100,0.0,h4,False,2,1.8066245590035017,0.026897799281076662,1.0,10
100,0.0,h4,False,3,1.7951975520561283,0.021812015187023484,1.0,10
100,0.0,h4,False,4,1.7899718701756704,0.021571488854250226,1.0,10
100,0.0,h4,False,5,1.7879848503723903,0.022098306534388698,1.0,10
100,0.0,h4,True,1,1.8101514623772252,0.0333088526765262,1.0,10
100,0.0,h4,True,2,1.7991805464131196,0.0272061731997113,1.0,10
100,0.0,h4,True,3,1.7865367133401187,0.01666452474174729,1.0,10
100,0.0,h4,True,4,1.7810858198632118,0.01876296088837947,1.0,10
100,0.0,h4,True,5,1.7810858198632118,0.01876296088837947,1.0,10
100,0.1,h2,False,1,2.3535936622501117,0.1410009584124019,1.0,10
100,0.1,h2,False,2,2.3142539890289044,0.1141925840198444,1.0,10
100,0.1,h2,False,3,2.277363931338815,0.0703004885476289,1.0,10
100,0.1,h2,False,4,2.262561197258119,0.06580523256916897,1.0,10
100,0.1,h2,False,5,2.246211912695032,0.06633304339069186,1.0,10
100,0.1,h2,True,1,2.3857127812882566,0.186899886588271,1.0,10
100,0.1,h2,True,2,2.2855787281029243,0.12660233958214803,1.0,10
100,0.1,h2,True,3,2.268336744359596,0.11012195053387808,1.0,10
100,0.1,h2,True,4,2.268336744359596,0.11012195053387808,1.0,10
100,0.1,h2,True,5,2.253586179139775,0.11517004876305596,1.0,10
100,0.1,h2+3,False,1,2.0957513379393453,0.08507817457738168,1.0,10
100,0.1,h2+3,False,2,2.082180501491537,0.07768032115270908,1.0,10
100,0.1,h2+3,False,3,2.07469277003517,0.06874122334604772,1.0,10
100,0.1,h2+3,False,4,2.055767846675461,0.08005657768132297,1.0,10
100,0.1,h2+3,False,5,2.0523905030845553,0.08444542288043741,1.0,10
100,0.1,h2+3,True,1,2.0957799396482777,0.09837736233783026,1.0,10
100,0.1,h2+3,True,2,2.0709319069561674,0.1080801230950383,1.0,10
100,0.1,h2+3,True,3,2.065579349473552,0.11535525906742915,1.0,10
100,0.1,h2+3,True,4,2.059468329104983,0.11144026028013043,1.0,10
100,0.1,h2+3,True,5,2.0543915749744044,0.10454755720832387,1.0,10
100,0.1,h2+3+4,False,1,2.3799100240750577,0.22309925684822085,0.875,8
100,0.1,h2+3+4,False,2,2.365365046978143,0.23853626443118642,1.0,8
100,0.1,h2+3+4,False,3,2.321471438854964,0.22567808145209076,1.0,8
100,0.1,h2+3+4,False,4,2.273134011721927,0.1742609881367165,1.0,8
