vertices,hop_key,n_pairs,n_pairs_both_sc,sc_rate_on,sc_rate_off,median_diff_apsp,p_apsp,median_diff_time,median_ratio_time,p_time
100,h2,200,199,1.0,0.995,0.020022889048473047,0.03138417270451642,-0.40740872896276414,0.4205394268269149,1.436146412761353e-34
100,h3,200,200,1.0,1.0,0.03895961456681496,3.520226736207652e-06,-0.5064210004929919,0.4536159873540007,1.436146412761353e-34
100,h4,100,87,1.0,0.87,0.0014949199667428914,0.6324651482442235,-0.6606719794508535,0.6379551474175609,3.89655984509591e-18
100,h2+3,200,199,1.0,0.995,0.015802578279100032,0.00014330235230732306,-0.5278315624746028,0.45646619185091986,1.436146412761353e-34
100,h2+3+4,100,85,1.0,0.85,-0.02486837044379908,0.05468091481927175,-0.7528241664986126,0.654902474657904,3.89655984509591e-18
200,h2,200,151,1.0,0.755,-0.06825957482641742,8.595342648634682e-05,-0.9780731039645616,0.36387861525181087,1.436146412761353e-34
200,h3,200,163,1.0,0.815,-0.02288655172067866,2.508142972879612e-06,-1.1705936040089,0.4293744524111399,1.436146412761353e-34
200,h4,115,86,1.0,0.7478260869565218,-0.00032246937648960916,0.6159146954701843,-2.45757962402422,0.5654721344721474,1.3128610014438802e-20
200,h2+3,200,160,1.0,0.8,-0.04789838336911745,7.178686344125994e-10,-1.2505048125167377,0.4194902202770549,1.436146412761353e-34
200,h2+3+4,115,79,1.0,0.6869565217391305,-0.0009218640286481339,0.503158388851392,-2.9031429159804247,0.5803860857623183,1.3128610014438802e-20
300,h2,200,88,0.925,0.46,-0.03445741273174763,0.29057670382094214,-1.901567791996058,0.3321975454972243,1.436146412761353e-34
300,h3,200,115,1.0,0.575,-0.03477207045540642,1.1076214149223983e-12,-2.3246920210367534,0.43080969283143244,1.436146412761353e-34
300,h4,170,78,0.9647058823529412,0.48823529411764705,0.003958586361798466,0.6847930676909785,-4.79583029152127,0.5528804730945958,6.265846122260404e-29
300,h2+3,200,110,1.0,0.55,-0.025735233735344365,1.693806646194631e-12,-2.4389108539908193,0.42343899092531123,1.436146412761353e-34
300,h2+3+4,170,76,0.9647058823529412,0.47058823529411764,-0.0034400514268665416,0.4163072958707119,-5.073588999977801,0.5564907607915506,1.7043214816950922e-29
400,h2,200,65,0.75,0.37,-0.06608487049719192,0.12222239069716273,-2.752154916524887,0.31887244046321334,1.436146412761353e-34
400,h3,200,107,1.0,0.535,-0.021645404662693934,8.019616674313213e-10,-3.3651107505429536,0.39854121133918397,1.436146412761353e-34
400,h4,160,65,0.9375,0.41875,0.004103584300514829,0.9297005232148592,-4.914768438000465,0.5514158649895167,3.3912449753398835e-25
400,h2+3,200,105,1.0,0.525,-0.025879570626996973,1.8011922241986272e-11,-3.5511838545207866,0.38925420933110483,1.436146412761353e-34
400,h2+3+4,160,64,0.9125,0.4125,-0.0006294298198030734,0.5697376618803107,-4.8648852714686655,0.5553086324379809,8.071214271337174e-26
500,h2,200,39,0.595,0.27,0.025419250660331016,0.9395183113774692,-4.112822770490311,0.31997087688971626,1.436146412761353e-34
500,h3,200,101,1.0,0.505,-0.015976795870594085,4.658935775170241e-09,-4.231693895009812,0.4257404246338536,1.436146412761353e-34
500,h4,190,49,0.9368421052631579,0.29473684210526313,-0.0032294263875172202,0.9058435571951513,-15.50444412548677,0.5765700095295869,6.262919771371905e-33
500,h2+3,200,100,1.0,0.5,-0.020103755476550744,4.1633293067648055e-11,-4.587914291478228,0.405991864221917,1.436146412761353e-34
500,h2+3+4,190,44,0.8789473684210526,0.2894736842105263,-0.002619598044682925,0.8578829992412693,-18.494737082510255,0.5616101047812375,6.262919771371905e-33
