vertices,remove_ratio_target,hop_key,use_reduction,best_mean,best_std,n_graphs_with_sc
100,0.0,h2,False,1.9243720537052176,0.04809847656239092,10
100,0.0,h2,True,1.9335758110127617,0.0671235382037185,10
100,0.0,h3,False,1.7023923666467682,0.010039444114475516,10
100,0.0,h3,True,1.6923310577262938,0.012617511972926761,10
100,0.0,h4,False,1.7879848503723903,0.022098306534388698,10
100,0.0,h4,True,1.7810858198632118,0.01876296088837947,10
100,0.0,h2+3,False,1.7036783919615943,0.00959788587493132,10
100,0.0,h2+3,True,1.6921017441508237,0.010986073841519435,10
100,0.0,h2+3+4,False,1.8012824885066323,0.01963872585396516,10
100,0.0,h2+3+4,True,1.7740778120508274,0.01650856731500388,10
100,0.1,h2,False,2.246211912695032,0.06633304339069186,10
100,0.1,h2,True,2.253586179139775,0.11517004876305596,10
100,0.1,h3,False,2.0590116047249962,0.06083695232947421,10
100,0.1,h3,True,2.0635458508593465,0.09339319683790966,10
100,0.1,h4,False,2.227324137498493,0.1535072207623047,8
100,0.1,h4,True,2.276216397960008,0.16377984776573334,10
100,0.1,h2+3,False,2.0523905030845553,0.08444542288043741,10
100,0.1,h2+3,True,2.0543915749744044,0.10454755720832387,10
100,0.1,h2+3+4,False,2.272855245577617,0.17381966456461007,8
100,0.1,h2+3+4,True,2.260420292564885,0.15446557132833877,10
100,0.3,h2,False,2.646405685174276,0.10267897957838852,10
100,0.3,h2,True,2.66846150546777,0.12912179186271971,10
100,0.3,h3,False,2.6378974695509116,0.11263824893718363,10
100,0.3,h3,True,2.799546003370241,0.16334655851507263,10
100,0.3,h4,True,2.8579109735364576,,1
100,0.3,h2+3,False,2.6473005736321755,0.10412500642720977,10
100,0.3,h2+3,True,2.78596572966247,0.15435249136904347,10
100,0.3,h2+3+4,True,2.8579109735364576,,1
100,0.5,h2,False,2.6400818749139665,0.1338643062721096,10
100,0.5,h2,True,2.6574410742840135,0.14041536775696417,10
100,0.5,h3,False,2.6273595942199464,0.10410867611785794,10
100,0.5,h3,True,2.8242614189555995,0.17512851406643953,10
100,0.5,h4,True,2.8579109735364576,,1
100,0.5,h2+3,False,2.630963885163709,0.12417878508997424,10
100,0.5,h2+3,True,2.7859657296624714,0.15435249136904733,10
100,0.5,h2+3+4,True,2.8579109735364576,,1
200,0.0,h2,False,1.92430977932892,0.032396636460639616,10
200,0.0,h2,True,1.9447501031077035,0.031205324258459347,10
200,0.0,h3,False,1.6039193120186792,0.008641262244925214,10
200,0.0,h3,True,1.602703817717479,0.010594308009007292,10
200,0.0,h4,False,1.5998494617982257,0.010928545285253896,10
200,0.0,h4,True,1.6295704726049152,0.014059628395280676,10
