candidate_id,graph_id,vertices,use_reduction,hop_key,target_k,rank,n_vertices,n_edges,n_directed,n_vars,n_couplings,max_degree,degeneracy,degeneracy_sec,tw_min_degree,tw_min_degree_sec,tw_min_fill_in,tw_min_fill_in_sec,embeddable,physical_qubits,max_chain_length,embed_sec,attempts,timeout_sec,rechecked,first_timeout_sec
v100_s0_p30__h2+3__red__k8__mid,v100_s0_p30,100,True,h2+3,8,mid,13,11,12,11,29,8,5,0.0001089,5,0.000368,5,0.000287,True,13,2,0.111949,1,60,,
v100_s0_p30__h2+3__red__k96__max,v100_s0_p30,100,True,h2+3,96,max,16,9,15,9,12,4,3,9.55e-05,3,0.0002419,3,9.77e-05,True,9,1,0.0733176,1,60,,
v100_s0_p30__h2+3__red__k96__mid,v100_s0_p30,100,True,h2+3,96,mid,5,1,5,1,0,0,0,3.86e-05,0,6.40001e-06,,,True,1,1,3.00001e-06,0,60,,
v100_s0_p30__h2+3__red__k96__min,v100_s0_p30,100,True,h2+3,96,min,6,1,6,1,0,0,0,3.58e-05,0,5.5e-06,,,True,1,1,3.09999e-06,0,60,,
v100_s0_p30__h2+3__red__whole__whole,v100_s0_p30,100,True,h2+3,,whole,83,182,0,182,2032,42,15,0.001754,56,0.0217528,57,0.166526,True,1243,15,31.8655,1,60,,
v100_s0_p30__h2__nored__k12__max,v100_s0_p30,100,False,h2,12,max,58,49,43,49,90,8,5,0.0002431,5,0.0008159,5,0.0012075,True,56,2,0.176807,1,60,,
v100_s0_p30__h2__nored__k12__mid,v100_s0_p30,100,False,h2,12,mid,13,8,11,7,9,4,2,0.0001041,2,0.0003319,2,0.0001072,True,7,1,0.079826,1,60,,
v100_s0_p30__h2__nored__k12__min,v100_s0_p30,100,False,h2,12,min,5,1,5,0,0,0,0,4.00003e-07,0,4.80001e-06,,,True,0,0,7.00005e-07,0,60,,
v100_s0_p30__h2__nored__k16__max,v100_s0_p30,100,False,h2,16,max,61,50,47,49,90,8,5,0.000267,5,0.0008263,5,0.0011366,True,56,2,0.201133,1,60,,
v100_s0_p30__h2__nored__k16__mid,v100_s0_p30,100,False,h2,16,mid,11,6,9,6,7,3,2,0.0003243,2,0.0003708,2,0.0003445,True,6,1,0.0911545,1,60,,
v100_s0_p30__h2__nored__k16__min,v100_s0_p30,100,False,h2,16,min,6,1,6,0,0,0,0,5.00004e-07,0,4.1e-06,,,True,0,0,5.00004e-07,0,60,,
v100_s0_p30__h2__nored__k24__max,v100_s0_p30,100,False,h2,24,max,24,18,21,18,36,8,4,9.75e-05,4,0.0002226,4,0.0001785,True,20,2,0.160908,1,60,,
v100_s0_p30__h2__nored__k24__mid,v100_s0_p30,100,False,h2,24,mid,8,7,6,7,11,4,3,8.8e-05,3,0.000129,3,7.78e-05,True,7,1,0.0658839,1,60,,
v100_s0_p30__h2__nored__k2__max,v100_s0_p30,100,False,h2,2,max,75,99,33,98,273,10,5,0.0004207,13,0.0019072,11,0.0080587,True,146,3,0.712235,1,60,,
v100_s0_p30__h2__nored__k2__min,v100_s0_p30,100,False,h2,2,min,42,64,18,64,194,11,6,0.0003094,7,0.0010728,7,0.0032076,True,92,3,0.437265,1,60,,
v100_s0_p30__h2__nored__k32__max,v100_s0_p30,100,False,h2,32,max,27,18,21,17,29,7,4,8.11e-05,4,0.000171,4,0.0001834,True,19,2,0.110041,1,60,,
v100_s0_p30__h2__nored__k32__mid,v100_s0_p30,100,False,h2,32,mid,7,4,6,4,6,3,3,9.98e-05,3,0.0001285,3,3.55e-05,True,4,1,0.0755841,1,60,,
v100_s0_p30__h2__nored__k32__min,v100_s0_p30,100,False,h2,32,min,4,1,4,0,0,0,0,4.00003e-07,0,4.29999e-06,,,True,0,0,5.9999e-07,0,60,,
v100_s0_p30__h2__nored__k3__max,v100_s0_p30,100,False,h2,3,max,79,112,37,112,335,10,6,0.0004284,10,0.0021741,10,0.0080409,True,213,4,0.935544,1,60,,
v100_s0_p30__h2__nored__k3__mid,v100_s0_p30,100,False,h2,3,mid,32,29,22,28,59,7,4,0.0001916,4,0.000492,4,0.0007415,True,33,2,0.126126,1,60,,
v100_s0_p30__h2__nored__k3__min,v100_s0_p30,100,False,h2,3,min,13,10,11,9,17,6,3,9.59e-05,3,0.0001565,3,9.73e-05,True,10,2,0.085827,1,60,,
v100_s0_p30__h2__nored__k48__max,v100_s0_p30,100,False,h2,48,max,25,14,22,13,14,4,2,0.00011,2,0.000201,2,0.0001178,True,13,1,0.0795539,1,60,,
v100_s0_p30__h2__nored__k48__mid,v100_s0_p30,100,False,h2,48,mid,6,3,5,3,3,2,2,7e-05,2,7.89e-05,2,2.58e-05,True,3,1,0.0900557,1,60,,
v100_s0_p30__h2__nored__k48__min,v100_s0_p30,100,False,h2,48,min,8,1,8,0,0,0,0,4.00003e-07,0,3.8e-06,,,True,0,0,5.00004e-07,0,60,,
v100_s0_p30__h2__nored__k4__max,v100_s0_p30,100,False,h2,4,max,83,99,49,99,252,10,6,0.0003569,7,0.0020489,7,0.0071915,True,132,2,0.542349,1,60,,
v100_s0_p30__h2__nored__k4__mid,v100_s0_p30,100,False,h2,4,mid,25,30,14,30,67,7,4,0.000176,6,0.0005802,5,0.0007324,True,37,2,0.146945,1,60,,
v100_s0_p30__h2__nored__k4__min,v100_s0_p30,100,False,h2,4,min,4,1,4,0,0,0,0,9.00007e-07,0,1.26e-05,,,True,0,0,8.99992e-07,0,60,,
v100_s0_p30__h2__nored__k64__max,v100_s0_p30,100,False,h2,64,max,25,13,22,11,12,4,2,8.59e-05,2,0.000163,2,9.71e-05,True,11,1,0.0739222,1,60,,
v100_s0_p30__h2__nored__k64__mid,v100_s0_p30,100,False,h2,64,mid,8,2,8,2,1,1,1,5.97e-05,1,6.51e-05,1,2.21e-05,True,2,1,0.0498444,1,60,,
v100_s0_p30__h2__nored__k64__min,v100_s0_p30,100,False,h2,64,min,4,1,4,0,0,0,0,1.10001e-06,0,1.86e-05,,,True,0,0,1.19999e-06,0,60,,
v100_s0_p30__h2__nored__k6__max,v100_s0_p30,100,False,h2,6,max,64,61,46,61,129,9,5,0.0002305,5,0.0024049,5,0.0030242,True,74,2,0.453868,1,60,,
v100_s0_p30__h2__nored__k6__mid,v100_s0_p30,100,False,h2,6,mid,23,25,14,25,57,7,4,0.0007519,4,0.0003808,4,0.0004133,True,33,2,0.123812,1,60,,
v100_s0_p30__h2__nored__k6__min,v100_s0_p30,100,False,h2,6,min,4,1,4,0,0,0,0,7.99992e-07,0,1.39e-05,,,True,0,0,1.00001e-06,0,60,,
v100_s0_p30__h2__nored__k8__max,v100_s0_p30,100,False,h2,8,max,69,65,47,65,129,7,4,0.0004505,4,0.0012421,4,0.003606,True,77,2,0.474146,1,60,,
v100_s0_p30__h2__nored__k8__mid,v100_s0_p30,100,False,h2,8,mid,14,11,10,11,19,6,3,0.0001176,3,0.000217,3,0.0001704,True,12,2,0.080504,1,60,,
v100_s0_p30__h2__nored__k8__min,v100_s0_p30,100,False,h2,8,min,4,1,4,0,0,0,0,5.00004e-07,0,6.2e-06,,,True,0,0,7.99992e-07,0,60,,
v100_s0_p30__h2__nored__k96__max,v100_s0_p30,100,False,h2,96,max,21,10,18,9,7,3,2,9.41e-05,2,0.0001732,2,0.0001012,True,9,1,0.0853951,1,60,,
v100_s0_p30__h2__nored__k96__mid,v100_s0_p30,100,False,h2,96,mid,4,1,4,0,0,0,0,5.00004e-07,0,7.99999e-06,,,True,0,0,7.99992e-07,0,60,,
v100_s0_p30__h2__nored__whole__whole,v100_s0_p30,100,False,h2,,whole,100,199,0,199,699,13,7,0.0011237,23,0.0079978,21,0.0633692,True,500,6,3.37813,1,60,,
v100_s0_p30__h2__red__k12__max,v100_s0_p30,100,True,h2,12,max,36,30,30,30,67,11,6,0.000155,6,0.0003705,6,0.0003832,True,36,2,0.161455,1,60,,
v100_s0_p30__h2__red__k12__mid,v100_s0_p30,100,True,h2,12,mid,14,9,13,8,12,4,3,7.57e-05,3,0.0001188,3,6.87e-05,True,9,2,0.0688228,1,60,,
v100_s0_p30__h2__red__k12__min,v100_s0_p30,100,True,h2,12,min,5,1,5,0,0,0,0,8.00006e-07,0,1.12e-05,,,True,0,0,8.00006e-07,0,60,,
v100_s0_p30__h2__red__k16__max,v100_s0_p30,100,True,h2,16,max,16,15,14,15,30,6,4,9.24e-05,4,0.0002001,4,0.0001732,True,16,2,0.0872514,1,60,,
v100_s0_p30__h2__red__k16__mid,v100_s0_p30,100,True,h2,16,mid,13,8,12,7,11,4,3,9.52e-05,3,0.0001505,3,9.18e-05,True,8,2,0.0652598,1,60,,
v100_s0_p30__h2__red__k16__min,v100_s0_p30,100,True,h2,16,min,4,1,4,0,0,0,0,7.00005e-07,0,1.15e-05,,,True,0,0,6.00005e-07,0,60,,
v100_s0_p30__h2__red__k24__max,v100_s0_p30,100,True,h2,24,max,18,17,14,17,33,6,3,0.000162,4,0.0004378,4,0.0003607,True,19,2,0.10529,1,60,,
v100_s0_p30__h2__red__k24__mid,v100_s0_p30,100,True,h2,24,mid,15,7,14,5,4,2,2,7.99e-05,2,0.0001253,2,5.48e-05,True,5,1,0.0957286,1,60,,
v100_s0_p30__h2__red__k24__min,v100_s0_p30,100,True,h2,24,min,5,1,5,0,0,0,0,5.00004e-07,0,1.04e-05,,,True,0,0,8.00006e-07,0,60,,
v100_s0_p30__h2__red__k2__max,v100_s0_p30,100,True,h2,2,max,83,150,29,150,501,11,6,0.0006135,17,0.0038618,13,0.0315556,True,343,7,4.43064,1,60,,
v100_s0_p30__h2__red__k2__mid,v100_s0_p30,100,True,h2,2,mid,5,2,5,2,1,1,1,4.78e-05,1,5.67e-05,1,1.84e-05,True,2,1,0.046799,1,60,,
v100_s0_p30__h2__red__k2__min,v100_s0_p30,100,True,h2,2,min,6,1,6,0,0,0,0,4.00003e-07,0,5.7e-06,,,True,0,0,6.00005e-07,0,60,,
v100_s0_p30__h2__red__k32__max,v100_s0_p30,100,True,h2,32,max,15,13,13,13,22,5,3,0.0001374,3,0.0001641,3,0.0001158,True,14,2,0.0756356,1,60,,
v100_s0_p30__h2__red__k32__mid,v100_s0_p30,100,True,h2,32,mid,8,4,8,4,2,1,1,6.01e-05,1,0.0001073,1,8.07e-05,True,4,1,0.0594695,1,60,,
v100_s0_p30__h2__red__k3__max,v100_s0_p30,100,True,h2,3,max,68,101,36,100,308,11,6,0.0003896,8,0.0057896,8,0.0127713,True,159,3,1.0923,1,60,,
v100_s0_p30__h2__red__k3__mid,v100_s0_p30,100,True,h2,3,mid,29,40,15,40,101,8,5,0.000423,8,0.0012684,6,0.0032869,True,54,2,0.374277,1,60,,
v100_s0_p30__h2__red__k3__min,v100_s0_p30,100,True,h2,3,min,5,2,5,2,1,1,1,7.78e-05,1,8.81e-05,1,2.54e-05,True,2,1,0.0502796,1,60,,
v100_s0_p30__h2__red__k48__max,v100_s0_p30,100,True,h2,48,max,15,10,14,10,22,7,4,7.77e-05,4,0.0001499,4,7.15e-05,True,12,2,0.0817624,1,60,,
v100_s0_p30__h2__red__k48__mid,v100_s0_p30,100,True,h2,48,mid,8,3,8,2,1,1,1,9.31e-05,1,0.000125,1,3.52e-05,True,2,1,0.0439255,1,60,,
v100_s0_p30__h2__red__k4__max,v100_s0_p30,100,True,h2,4,max,77,94,55,94,240,11,6,0.0005845,6,0.0022639,6,0.003814,True,125,3,0.700794,1,60,,
v100_s0_p30__h2__red__k4__mid,v100_s0_p30,100,True,h2,4,mid,27,22,23,22,49,7,4,0.0001348,5,0.000288,5,0.0002948,True,26,2,0.129839,1,60,,
v100_s0_p30__h2__red__k4__min,v100_s0_p30,100,True,h2,4,min,11,8,10,8,16,6,4,7.56e-05,4,0.0001212,4,8.57e-05,True,9,2,0.0802115,1,60,,
v100_s0_p30__h2__red__k64__max,v100_s0_p30,100,True,h2,64,max,18,9,17,7,7,4,2,0.000215,2,0.0003547,2,0.0001145,True,7,1,0.0756792,1,60,,
v100_s0_p30__h2__red__k64__mid,v100_s0_p30,100,True,h2,64,mid,7,2,7,0,0,0,0,4.00003e-07,0,6.50001e-06,,,True,0,0,5.00004e-07,0,60,,
v100_s0_p30__h2__red__k64__min,v100_s0_p30,100,True,h2,64,min,5,1,5,0,0,0,0,3.00002e-07,0,3.9e-06,,,True,0,0,4.00003e-07,0,60,,
v100_s0_p30__h2__red__k6__max,v100_s0_p30,100,True,h2,6,max,48,52,34,51,117,11,6,0.000209,6,0.0006969,6,0.0012037,True,66,3,0.291435,1,60,,
v100_s0_p30__h2__red__k6__mid,v100_s0_p30,100,True,h2,6,mid,17,16,13,16,35,7,4,0.0002641,4,0.0004056,4,0.0008103,True,19,2,0.111942,1,60,,
v100_s0_p30__h2__red__k6__min,v100_s0_p30,100,True,h2,6,min,6,1,6,0,0,0,0,8.00006e-07,0,1.61e-05,,,True,0,0,8.99992e-07,0,60,,
v100_s0_p30__h2__red__k8__max,v100_s0_p30,100,True,h2,8,max,18,21,11,21,48,7,4,0.0001623,5,0.0003985,5,0.0006536,True,28,2,0.176501,1,60,,
v100_s0_p30__h2__red__k8__mid,v100_s0_p30,100,True,h2,8,mid,15,11,14,11,16,5,3,7.97e-05,3,0.0001393,3,8.6e-05,True,11,1,0.0939805,1,60,,
v100_s0_p30__h2__red__k8__min,v100_s0_p30,100,True,h2,8,min,7,2,7,2,1,1,1,6.88e-05,1,7.44e-05,1,2.47e-05,True,2,1,0.0515318,1,60,,
v100_s0_p30__h2__red__k96__mid,v100_s0_p30,100,True,h2,96,mid,3,1,3,1,0,0,0,4.61e-05,0,3.40001e-06,,,True,1,1,3.9e-06,0,60,,
v100_s0_p30__h2__red__k96__min,v100_s0_p30,100,True,h2,96,min,6,1,6,0,0,0,0,7.00005e-07,0,8.90001e-06,,,True,0,0,5.9999e-07,0,60,,
v100_s0_p30__h2__red__whole__whole,v100_s0_p30,100,True,h2,,whole,83,182,0,182,676,13,7,0.000731,27,0.0066445,21,0.0539922,True,439,6,6.34451,1,60,,
v200_s0_p0__h2+3__nored__k12__max,v200_s0_p0,200,False,h2+3,12,max,68,115,46,115,1004,29,14,0.0008392,28,0.0049244,24,0.0181951,True,465,7,13.9194,1,60,,
v200_s0_p0__h2+3__nored__k12__mid,v200_s0_p0,200,False,h2+3,12,mid,24,29,20,29,198,19,10,0.0004992,12,0.0007418,12,0.0027258,True,79,4,1.10353,1,60,,
v200_s0_p0__h2+3__nored__k16__max,v200_s0_p0,200,False,h2+3,16,max,42,64,31,64,460,21,12,0.0004335,17,0.0016212,17,0.0102231,True,219,6,1.67356,1,60,,
v200_s0_p0__h2+3__nored__k16__mid,v200_s0_p0,200,False,h2+3,16,mid,25,28,22,28,174,19,9,0.0004323,13,0.0005383,12,0.0008635,True,69,4,0.97657,1,60,,
v200_s0_p0__h2+3__nored__k24__max,v200_s0_p0,200,False,h2+3,24,max,32,45,27,45,342,24,12,0.0009602,21,0.0013635,20,0.0043459,True,142,5,2.58733,1,60,,
v200_s0_p0__h2+3__nored__k24__mid,v200_s0_p0,200,False,h2+3,24,mid,8,7,7,7,19,6,5,6.75e-05,5,9.66e-05,5,5.81e-05,True,10,2,0.0743073,1,60,,
v200_s0_p0__h2+3__nored__k24__min,v200_s0_p0,200,False,h2+3,24,min,4,1,4,0,0,0,0,5.9999e-07,0,1.02e-05,,,True,0,0,8.00006e-07,0,60,,
v200_s0_p0__h2+3__nored__k2__max,v200_s0_p0,200,False,h2+3,2,max,108,255,33,255,3558,47,17,0.0054035,80,0.0389917,53,0.39832,True,2146,16,69.4681,1,300,True,60
v200_s0_p0__h2+3__nored__k2__min,v200_s0_p0,200,False,h2+3,2,min,56,113,26,113,1241,35,15,0.0010468,35,0.004872,30,0.0230129,True,547,8,27.1894,1,60,,
v200_s0_p0__h2+3__nored__k32__max,v200_s0_p0,200,False,h2+3,32,max,24,35,17,35,243,23,11,0.0002722,14,0.0011121,14,0.0015501,True,97,4,2.21312,1,60,,
v200_s0_p0__h2+3__nored__k32__mid,v200_s0_p0,200,False,h2+3,32,mid,5,4,4,4,6,3,3,9.48e-05,3,0.0001344,3,3.57e-05,True,4,1,0.0702487,1,60,,
v200_s0_p0__h2+3__nored__k3__max,v200_s0_p0,200,False,h2+3,3,max,150,372,42,372,5194,52,19,0.0063851,71,0.11563,54,1.05265,True,3536,24,124.98,2,60,,
v200_s0_p0__h2+3__nored__k3__mid,v200_s0_p0,200,False,h2+3,3,mid,69,164,20,164,2213,47,17,0.0020596,59,0.0202714,50,0.152865,True,1145,13,23.0465,1,60,,
v200_s0_p0__h2+3__nored__k3__min,v200_s0_p0,200,False,h2+3,3,min,4,1,4,0,0,0,0,5.00004e-07,0,6.59999e-06,,,True,0,0,5.9999e-07,0,60,,
v200_s0_p0__h2+3__nored__k48__max,v200_s0_p0,200,False,h2+3,48,max,19,20,20,20,88,14,6,0.0002026,9,0.0003251,9,0.0003783,True,42,3,0.235589,1,60,,
v200_s0_p0__h2+3__nored__k48__mid,v200_s0_p0,200,False,h2+3,48,mid,5,4,4,4,5,3,2,7.37e-05,2,0.0001016,2,4.49e-05,True,4,1,0.081897,1,60,,
v200_s0_p0__h2+3__nored__k4__max,v200_s0_p0,200,False,h2+3,4,max,67,142,28,142,1823,48,16,0.0016391,42,0.0153372,36,0.0816998,True,1030,13,28.0394,1,60,,
v200_s0_p0__h2+3__nored__k4__mid,v200_s0_p0,200,False,h2+3,4,mid,6,5,5,5,10,4,4,0.0001066,4,0.000125,4,3.79e-05,True,6,2,0.0806306,1,60,,
v200_s0_p0__h2+3__nored__k64__max,v200_s0_p0,200,False,h2+3,64,max,21,28,16,28,205,22,10,0.0002593,14,0.0005036,14,0.0010872,True,80,4,1.24388,1,60,,
v200_s0_p0__h2+3__nored__k64__mid,v200_s0_p0,200,False,h2+3,64,mid,5,2,5,2,1,1,1,0.0001041,1,9.65e-05,1,2.16e-05,True,2,1,0.0505827,1,60,,
v200_s0_p0__h2+3__nored__k6__max,v200_s0_p0,200,False,h2+3,6,max,77,160,34,160,1913,42,16,0.0023367,34,0.0118516,35,0.089841,True,909,10,42.1767,1,60,,
v200_s0_p0__h2+3__nored__k6__mid,v200_s0_p0,200,False,h2+3,6,mid,40,69,24,69,733,35,14,0.0009746,29,0.0040205,29,0.0112629,True,307,7,17.9599,1,60,,
v200_s0_p0__h2+3__nored__k6__min,v200_s0_p0,200,False,h2+3,6,min,4,1,4,0,0,0,0,6.99991e-07,0,1.29e-05,,,True,0,0,9.99993e-07,0,60,,
v200_s0_p0__h2+3__nored__k8__max,v200_s0_p0,200,False,h2+3,8,max,37,70,19,70,783,37,15,0.0006924,30,0.0029139,30,0.0118568,True,385,10,4.72061,1,60,,
v200_s0_p0__h2+3__nored__k8__mid,v200_s0_p0,200,False,h2+3,8,mid,28,45,18,45,379,26,13,0.0005024,20,0.0013147,18,0.0030368,True,169,6,4.18097,1,60,,
v200_s0_p0__h2+3__nored__k96__max,v200_s0_p0,200,False,h2+3,96,max,15,16,13,16,86,13,8,0.0001184,11,0.0002106,11,0.000243,True,35,3,0.333592,1,60,,
v200_s0_p0__h2+3__nored__k96__mid,v200_s0_p0,200,False,h2+3,96,mid,5,2,5,2,1,1,1,0.0001244,1,9.31e-05,1,2.7e-05,True,2,1,0.0481856,1,60,,
v200_s0_p0__h2+3__nored__whole__whole,v200_s0_p0,200,False,h2+3,,whole,200,583,0,583,9710,56,21,0.0091817,140,0.383041,124,3.7493,False,,,148.677,2,60,,
v200_s0_p0__h2+3__red__k12__max,v200_s0_p0,200,True,h2+3,12,max,34,53,23,53,508,32,14,0.0006422,26,0.0021143,22,0.0089319,True,214,6,16.4789,1,60,,
v200_s0_p0__h2+3__red__k12__mid,v200_s0_p0,200,True,h2+3,12,mid,13,12,12,12,41,9,5,0.0001099,6,0.0002053,6,0.0001599,True,19,2,0.159937,1,60,,
v200_s0_p0__h2+3__red__k16__max,v200_s0_p0,200,True,h2+3,16,max,30,47,20,47,438,30,13,0.0006752,21,0.0020885,21,0.0063204,True,178,6,8.80547,1,60,,
v200_s0_p0__h2+3__red__k16__mid,v200_s0_p0,200,True,h2+3,16,mid,11,12,9,12,50,10,7,0.0001092,8,0.0001679,8,0.0001189,True,22,2,0.179614,1,60,,
v200_s0_p0__h2+3__red__k24__max,v200_s0_p0,200,True,h2+3,24,max,27,38,20,38,277,22,11,0.0003348,17,0.0006251,17,0.0018906,True,115,5,1.45455,1,60,,
v200_s0_p0__h2+3__red__k24__mid,v200_s0_p0,200,True,h2+3,24,mid,6,5,5,5,10,4,4,8.41e-05,4,0.000156,4,4.79e-05,True,6,2,0.0962474,1,60,,
v200_s0_p0__h2+3__red__k24__min,v200_s0_p0,200,True,h2+3,24,min,4,1,4,0,0,0,0,5.9999e-07,0,8.3e-06,,,True,0,0,1.09999e-06,0,60,,
v200_s0_p0__h2+3__red__k2__max,v200_s0_p0,200,True,h2+3,2,max,176,444,42,444,6256,48,18,0.005446,80,0.105869,62,1.23832,True,3951,27,243.097,1,300,True,60
v200_s0_p0__h2+3__red__k2__min,v200_s0_p0,200,True,h2+3,2,min,60,121,28,121,1385,38,16,0.0012177,35,0.0062638,30,0.0306404,True,672,10,13.5873,1,60,,
v200_s0_p0__h2+3__red__k32__max,v200_s0_p0,200,True,h2+3,32,max,27,32,23,32,200,20,9,0.0002515,11,0.0005929,11,0.0010301,True,82,4,1.40168,1,60,,
v200_s0_p0__h2+3__red__k32__mid,v200_s0_p0,200,True,h2+3,32,mid,7,6,6,6,14,5,4,8.07e-05,4,0.0001117,4,4.32e-05,True,8,2,0.0720295,1,60,,
v200_s0_p0__h2+3__red__k3__max,v200_s0_p0,200,True,h2+3,3,max,152,373,46,373,5181,52,18,0.006051,75,0.097965,55,0.949141,True,3109,18,128.37,2,60,,
v200_s0_p0__h2+3__red__k3__mid,v200_s0_p0,200,True,h2+3,3,mid,69,160,22,160,2136,47,17,0.0030361,55,0.0174728,47,0.149039,True,1140,13,48.939,1,60,,
v200_s0_p0__h2+3__red__k3__min,v200_s0_p0,200,True,h2+3,3,min,4,1,4,0,0,0,0,7.99992e-07,0,1.14e-05,,,True,0,0,8.99992e-07,0,60,,
v200_s0_p0__h2+3__red__k48__max,v200_s0_p0,200,True,h2+3,48,max,23,24,21,24,100,13,7,0.000168,9,0.0004739,9,0.00094,True,44,3,0.367556,1,60,,
v200_s0_p0__h2+3__red__k48__mid,v200_s0_p0,200,True,h2+3,48,mid,8,5,8,5,10,4,4,9.69e-05,4,7.14e-05,4,2.29e-05,True,6,2,0.0934438,1,60,,
v200_s0_p0__h2+3__red__k4__max,v200_s0_p0,200,True,h2+3,4,max,99,234,33,234,3159,43,18,0.0024597,66,0.0310857,49,0.223633,True,1816,14,60.4176,1,60,,
v200_s0_p0__h2+3__red__k4__mid,v200_s0_p0,200,True,h2+3,4,mid,6,5,5,5,10,4,4,0.0001136,4,0.0001403,4,4.33e-05,True,6,2,0.0965063,1,60,,
v200_s0_p0__h2+3__red__k4__min,v200_s0_p0,200,True,h2+3,4,min,4,1,4,0,0,0,0,7.00005e-07,0,1.21e-05,,,True,0,0,8.00006e-07,0,60,,
v200_s0_p0__h2+3__red__k64__max,v200_s0_p0,200,True,h2+3,64,max,20,20,20,20,84,13,6,0.0002011,7,0.0004251,7,0.0005747,True,39,3,0.211617,1,60,,
v200_s0_p0__h2+3__red__k64__mid,v200_s0_p0,200,True,h2+3,64,mid,7,4,7,4,6,3,3,7.32e-05,3,7.78e-05,3,2.52e-05,True,4,1,0.0668507,1,60,,
v200_s0_p0__h2+3__red__k6__max,v200_s0_p0,200,True,h2+3,6,max,48,99,21,99,1092,36,14,0.0032039,32,0.006406,28,0.0278002,True,561,10,7.64325,1,60,,
v200_s0_p0__h2+3__red__k6__mid,v200_s0_p0,200,True,h2+3,6,mid,42,71,26,71,747,36,14,0.0008029,32,0.0039942,31,0.0085248,True,358,9,7.97138,1,60,,
v200_s0_p0__h2+3__red__k6__min,v200_s0_p0,200,True,h2+3,6,min,4,1,4,0,0,0,0,1.00001e-06,0,2.01e-05,,,True,0,0,1.9e-06,0,60,,
v200_s0_p0__h2+3__red__k8__max,v200_s0_p0,200,True,h2+3,8,max,40,75,21,75,835,39,14,0.0007075,26,0.0031974,25,0.0139892,True,355,8,13.4843,1,60,,
v200_s0_p0__h2+3__red__k8__mid,v200_s0_p0,200,True,h2+3,8,mid,28,45,18,45,398,26,13,0.0003749,23,0.0011458,21,0.0044595,True,170,6,3.48676,1,60,,
v200_s0_p0__h2+3__red__k8__min,v200_s0_p0,200,True,h2+3,8,min,4,1,4,0,0,0,0,9.00007e-07,0,1.46e-05,,,True,0,0,9.99993e-07,0,60,,
v200_s0_p0__h2+3__red__k96__max,v200_s0_p0,200,True,h2+3,96,max,14,16,13,16,60,10,6,0.0001523,7,0.000286,7,0.000252,True,29,3,0.165853,1,60,,
v200_s0_p0__h2+3__red__k96__mid,v200_s0_p0,200,True,h2+3,96,mid,5,2,5,2,1,1,1,6.45e-05,1,7.09e-05,1,2.24e-05,True,2,1,0.0494524,1,60,,
v200_s0_p0__h2+3__red__whole__whole,v200_s0_p0,200,True,h2+3,,whole,200,583,0,583,9710,56,21,0.0113963,136,0.402642,124,3.95701,False,,,141.18,2,60,,
v200_s0_p0__h2__nored__k12__max,v200_s0_p0,200,False,h2,12,max,31,52,19,52,192,12,6,0.0003202,10,0.0008989,10,0.0023392,True,90,3,0.41016,1,60,,
v200_s0_p0__h2__nored__k12__mid,v200_s0_p0,200,False,h2,12,mid,14,15,12,15,39,8,4,0.0002448,6,0.0006976,5,0.0007412,True,20,2,0.140391,1,60,,
v200_s0_p0__h2__nored__k12__min,v200_s0_p0,200,False,h2,12,min,4,1,4,0,0,0,0,1.00001e-06,0,1.67e-05,,,True,0,0,1.7e-06,0,60,,
v200_s0_p0__h2__nored__k16__max,v200_s0_p0,200,False,h2,16,max,34,50,29,50,150,10,5,0.0003934,8,0.0008107,8,0.0029293,True,79,3,0.374967,1,60,,
v200_s0_p0__h2__nored__k16__mid,v200_s0_p0,200,False,h2,16,mid,9,6,9,6,5,2,1,0.000103,1,0.0001695,1,8.92e-05,True,6,1,0.0728371,1,60,,
v200_s0_p0__h2__nored__k24__max,v200_s0_p0,200,False,h2,24,max,25,40,16,40,148,12,6,0.0002314,9,0.0007037,8,0.0013842,True,63,3,0.387477,1,60,,
v200_s0_p0__h2__nored__k24__mid,v200_s0_p0,200,False,h2,24,mid,10,7,10,7,15,6,4,0.0001473,4,0.0002556,4,0.0001385,True,8,2,0.0740993,1,60,,
v200_s0_p0__h2__nored__k2__max,v200_s0_p0,200,False,h2,2,max,178,449,47,449,2076,14,8,0.0024586,28,0.0329719,24,0.45427,True,1341,10,12.0338,1,60,,
v200_s0_p0__h2__nored__k2__min,v200_s0_p0,200,False,h2,2,min,46,87,24,87,368,14,8,0.0004303,14,0.0021033,13,0.007507,True,180,4,1.31371,1,60,,
v200_s0_p0__h2__nored__k32__max,v200_s0_p0,200,False,h2,32,max,30,41,23,41,143,11,6,0.0004527,8,0.0009049,8,0.0028729,True,68,3,0.367599,1,60,,
v200_s0_p0__h2__nored__k32__mid,v200_s0_p0,200,False,h2,32,mid,9,6,9,6,9,5,3,0.0001057,3,0.0001749,3,6.3e-05,True,6,1,0.07155,1,60,,
v200_s0_p0__h2__nored__k3__max,v200_s0_p0,200,False,h2,3,max,145,356,44,356,1632,14,8,0.0018072,22,0.0215419,20,0.256494,True,899,6,7.16031,1,60,,
v200_s0_p0__h2__nored__k3__mid,v200_s0_p0,200,False,h2,3,mid,74,175,22,175,811,14,8,0.0007691,23,0.0063597,21,0.0469504,True,517,7,5.06124,1,60,,
