graph_id,vertices,remove_ratio_target,hop_key,use_reduction,rep,apsp_sum_dnc,elapsed_sec_dnc,qubo_vars_total_dnc,n_subgraphs_dnc,strongly_connected_dnc,ok_dnc,apsp_sum_whole,elapsed_sec_whole,qubo_vars_total_whole,n_subgraphs_whole,strongly_connected_whole,ok_whole,both_sc,diff_apsp,ratio_time
v100_s0_p0,100,0.0,h2,False,0,1.3094349446849456,5.020525583007839,252.0,5.0,True,True,1.3196556036556053,2.0423264169949107,284,1,True,True,True,-0.010220658970659713,2.4582385759838847
v100_s0_p0,100,0.0,h2,True,0,1.3094349446849456,4.959056749998126,252.0,5.0,True,True,1.3196556036556053,2.136826707981527,284,1,True,True,True,-0.010220658970659713,2.320757566102547
v100_s0_p0,100,0.0,h3,False,0,1.3473691678691668,5.282800083004986,153.0,41.0,True,True,1.3573333333333335,2.596122542017838,284,1,True,True,True,-0.009964165464166674,2.0348808646370466
v100_s0_p0,100,0.0,h3,True,0,1.3473691678691668,5.31733050000912,153.0,41.0,True,True,1.3573333333333335,2.67029020798509,284,1,True,True,True,-0.009964165464166674,1.9912931126768414
v100_s0_p0,100,0.0,h4,False,0,1.3429129389129386,13.226904333001585,108.0,89.0,True,True,,11.456169207987841,3939,1,False,True,False,,1.154566076396558
v100_s0_p0,100,0.0,h4,True,0,1.3429129389129386,13.338435875004507,108.0,89.0,True,True,,11.76297120799427,3939,1,False,True,False,,1.1339342449414083
v100_s0_p0,100,0.0,h2+3,False,0,1.3421069023569028,5.803725417004898,153.0,41.0,True,True,1.3514189514189516,2.6580852500046603,284,1,True,True,True,-0.009312049062048855,2.1834233559644947
v100_s0_p0,100,0.0,h2+3,True,0,1.3421069023569028,5.876789916990674,153.0,41.0,True,True,1.3514189514189516,2.697057124983985,284,1,True,True,True,-0.009312049062048855,2.1789638278520225
v100_s0_p0,100,0.0,h2+3+4,False,0,1.348886724386721,15.054755042001489,108.0,89.0,True,True,,12.566463916999055,3939,1,False,True,False,,1.198010446012298
v100_s0_p0,100,0.0,h2+3+4,True,0,1.348886724386721,15.403075125010218,108.0,89.0,True,True,,12.792697124998085,3939,1,False,True,False,,1.2040522006036725
