vertices,remove_ratio_target,hop_key,use_reduction,k,best_mean,best_std,sc_frac,n_graphs
100,0.0,h2,False,1,1.31175962000962,0.010458353201260292,1.0,10
100,0.0,h2,False,2,1.3094540003206665,0.008902032786961042,1.0,10
100,0.0,h2,False,3,1.3073777617444287,0.0077789716059642935,1.0,10
100,0.0,h2,False,4,1.3037746031746038,0.008177179856023578,1.0,10
100,0.0,h2,False,5,1.3037746031746038,0.008177179856023578,1.0,10
100,0.0,h2,True,1,1.31175962000962,0.010458353201260292,1.0,10
100,0.0,h2,True,2,1.3094540003206665,0.008902032786961042,1.0,10
100,0.0,h2,True,3,1.3073777617444287,0.0077789716059642935,1.0,10
100,0.0,h2,True,4,1.3037746031746038,0.008177179856023578,1.0,10
100,0.0,h2,True,5,1.3037746031746038,0.008177179856023578,1.0,10
100,0.0,h2+3,False,1,1.32844663700497,0.008005294913469355,1.0,10
100,0.0,h2+3,False,2,1.3249969256052587,0.006699589771262533,1.0,10
100,0.0,h2+3,False,3,1.324212862754529,0.006725174196389797,1.0,10
100,0.0,h2+3,False,4,1.3219372214205543,0.005922432085160486,1.0,10
100,0.0,h2+3,False,5,1.3216124979958301,0.005796224012335219,1.0,10
100,0.0,h2+3,True,1,1.32844663700497,0.008005294913469355,1.0,10
100,0.0,h2+3,True,2,1.3249969256052587,0.006699589771262533,1.0,10
100,0.0,h2+3,True,3,1.324212862754529,0.006725174196389797,1.0,10
100,0.0,h2+3,True,4,1.3219372214205543,0.005922432085160486,1.0,10
100,0.0,h2+3,True,5,1.3216124979958301,0.005796224012335219,1.0,10
100,0.0,h2+3+4,False,1,1.343248645181978,0.006273660193960283,1.0,10
100,0.0,h2+3+4,False,2,1.3368005972422625,0.007947314063860544,1.0,10
100,0.0,h2+3+4,False,3,1.3343497033830345,0.007004228693132348,1.0,10
100,0.0,h2+3+4,False,4,1.333473985890651,0.0067125772364085914,1.0,10
100,0.0,h2+3+4,False,5,1.3308955587622244,0.004801297304869117,1.0,10
100,0.0,h2+3+4,True,1,1.343248645181978,0.006273660193960283,1.0,10
100,0.0,h2+3+4,True,2,1.3368005972422625,0.007947314063860544,1.0,10
100,0.0,h2+3+4,True,3,1.3343497033830345,0.007004228693132348,1.0,10
100,0.0,h2+3+4,True,4,1.333473985890651,0.0067125772364085914,1.0,10
100,0.0,h2+3+4,True,5,1.3308955587622244,0.004801297304869117,1.0,10
100,0.0,h3,False,1,1.3309867925284578,0.013794345740055534,1.0,10
100,0.0,h3,False,2,1.3254530904280888,0.011481009293005247,1.0,10
100,0.0,h3,False,3,1.3225499278499264,0.008909752982703535,1.0,10
100,0.0,h3,False,4,1.3211664662497982,0.007086761869710407,1.0,10
100,0.0,h3,False,5,1.3211664662497982,0.007086761869710407,1.0,10
100,0.0,h3,True,1,1.3309867925284578,0.013794345740055534,1.0,10
100,0.0,h3,True,2,1.3254530904280888,0.011481009293005247,1.0,10
100,0.0,h3,True,3,1.3225499278499264,0.008909752982703535,1.0,10
100,0.0,h3,True,4,1.3211664662497982,0.007086761869710407,1.0,10
100,0.0,h3,True,5,1.3211664662497982,0.007086761869710407,1.0,10
100,0.0,h4,False,1,1.338953928170595,0.004350396533045144,1.0,10
100,0.0,h4,False,2,1.3361116802950135,0.006186068756263467,1.0,10
100,0.0,h4,False,3,1.3337985890652555,0.006949573231724251,1.0,10
100,0.0,h4,False,4,1.3326935465768792,0.006439747250289257,1.0,10
100,0.0,h4,False,5,1.3309429693763017,0.005276458257235048,1.0,10
100,0.0,h4,True,1,1.338953928170595,0.004350396533045144,1.0,10
100,0.0,h4,True,2,1.3361116802950135,0.006186068756263467,1.0,10
100,0.0,h4,True,3,1.3337985890652555,0.006949573231724251,1.0,10
100,0.0,h4,True,4,1.3326935465768792,0.006439747250289257,1.0,10
100,0.0,h4,True,5,1.3309429693763017,0.005276458257235048,1.0,10
100,0.1,h2,False,1,1.3437341590508227,0.01256969823061913,1.0,10
100,0.1,h2,False,2,1.3394704866121496,0.008919070242457418,1.0,10
100,0.1,h2,False,3,1.3392330046496677,0.008805266431564058,1.0,10
100,0.1,h2,False,4,1.3389279020362321,0.008003215492768867,1.0,10
100,0.1,h2,False,5,1.338083882475546,0.008309957085451831,1.0,10
100,0.1,h2,True,1,1.3489726390893024,0.008159703632831104,1.0,10
100,0.1,h2,True,2,1.3456494348244328,0.009524181725682304,1.0,10
100,0.1,h2,True,3,1.3449301306717951,0.010301140701044821,1.0,10
100,0.1,h2,True,4,1.3426521805355114,0.009747919844460046,1.0,10
100,0.1,h2,True,5,1.3396764710598017,0.009205996997223588,1.0,10
100,0.1,h2+3,False,1,1.3651026254609557,0.010737356250958875,1.0,10
100,0.1,h2+3,False,2,1.360638492063488,0.008431905402499872,1.0,10
100,0.1,h2+3,False,3,1.3596777577360872,0.007731868719208975,1.0,10
100,0.1,h2+3,False,4,1.3573383998717294,0.006861340757057706,1.0,10
100,0.1,h2+3,False,5,1.354883770242099,0.008991132436388763,1.0,10
100,0.1,h2+3,True,1,1.3609391734808367,0.011097397561265952,1.0,10
