hop_key,use_reduction,vertices,n_runs,pred_sec_per_run,measured_sec_per_run,exponent_b,total_hours_sequential,total_hours_parallel
h2,False,100,200,0.7684967376396008,0.7989865626295796,1.9436792773713827,0.042694263202200045,0.004269426320220005
h2,False,200,200,2.956295161943876,2.836093265497766,1.9436792773713827,0.1642386201079931,0.01642386201079931
h2,False,300,200,6.501487378823577,6.347810651001055,1.9436792773713827,0.36119374326797654,0.036119374326797654
h2,False,400,200,11.372437456763025,10.75937201562192,1.9436792773713827,0.6318020809312792,0.06318020809312792
h2,False,500,200,17.547511719588137,19.045868051995058,1.9436792773713827,0.974861762199341,0.09748617621993409
h2,True,100,200,0.5980733493995501,0.628643051997642,1.9976610795517358,0.0332262971888639,0.0033226297188863898
h2,True,200,200,2.388418115175902,2.1972164217513637,1.9976610795517358,0.1326898952875501,0.01326898952875501
h2,True,300,200,5.368846794842219,5.383135869749822,1.9976610795517358,0.2982692663801233,0.02982692663801233
h2,True,400,200,9.538196441335561,9.321280541742453,1.9976610795517358,0.5298998022964201,0.052989980229642006
h2,True,500,200,14.895655644140705,15.721132484257396,1.9976610795517358,0.8275364246744835,0.08275364246744835
h3,False,100,200,1.2436404767538343,1.385387088485004,2.057940749282879,0.06909113759743524,0.006909113759743524
h3,False,200,200,5.1784137051588806,4.458313000133785,2.057940749282879,0.2876896502866044,0.028768965028660443
h3,False,300,200,11.92839799357347,11.0898083592474,2.057940749282879,0.6626887774207483,0.06626887774207482
h3,False,400,200,21.562476457643726,21.631601630244404,2.057940749282879,1.1979153587579847,0.11979153587579847
h3,False,500,200,34.12979683297932,38.15501649462385,2.057940749282879,1.896099824054407,0.1896099824054407
h3,True,100,200,0.9715503023379554,1.1073079791240161,2.1256633677448127,0.05397501679655308,0.0053975016796553085
h3,True,200,200,4.239881567575101,3.5067779948803945,2.1256633677448127,0.23554897597639451,0.02355489759763945
h3,True,300,200,10.038399245795619,9.415659401005541,2.1256633677448127,0.5576888469886455,0.055768884698864554
h3,True,400,200,18.503000476459057,18.187037744995905,2.1256633677448127,1.0279444709143921,0.10279444709143921
h3,True,500,200,29.733102267851216,34.21184183863079,2.1256633677448127,1.651839014880623,0.1651839014880623
h4,False,100,200,1.3347267188792955,1.555375224124873,2.407996482209176,0.07415148438218308,0.007415148438218308
h4,False,200,200,7.083885370890501,5.595551906124456,2.407996482209176,0.3935491872716945,0.03935491872716945
h4,False,300,200,18.80609637173791,17.489028036223317,2.407996482209176,1.0447831317632175,0.10447831317632175
h4,False,400,200,37.59678384954451,38.789511031252914,2.407996482209176,2.088710213863584,0.2088710213863584
h4,False,500,200,64.34423857587107,72.85591446861508,2.407996482209176,3.5746799208817266,0.35746799208817265
h4,True,100,200,1.1325483752355656,1.2875941977617913,2.394899839233143,0.06291935417975364,0.006291935417975364
h4,True,200,200,5.9565315929619285,4.998814692880842,2.394899839233143,0.3309184218312182,0.03309184218312182
h4,True,300,200,15.7294804363492,14.292827447890886,2.394899839233143,0.8738600242416222,0.08738600242416222
h4,True,400,200,31.32781733104673,31.757725536372163,2.394899839233143,1.740434296169263,0.1740434296169263
h4,True,500,200,53.458886970962354,60.827651406259974,2.394899839233143,2.969938165053464,0.2969938165053464
h2+3,False,100,200,1.3527833038026718,1.497429078008281,2.0234673951495967,0.07515462798903731,0.007515462798903731
h2+3,False,200,200,5.499872424772756,4.7758602915055235,2.0234673951495967,0.30554846804293095,0.030554846804293094
h2+3,False,300,200,12.49302292656907,11.667582239497278,2.0234673951495967,0.6940568292538372,0.06940568292538371
h2+3,False,400,200,22.360267608084015,22.436312885358348,2.0234673951495967,1.2422370893380008,0.12422370893380008
h2+3,False,500,200,35.1213538364805,38.99118173426541,2.0234673951495967,1.951186324248917,0.1951186324248917
h2+3,True,100,200,1.0544116143059998,1.2017366407453665,2.0953510985159713,0.05857842301699999,0.005857842301699999
h2+3,True,200,200,4.505818700232638,3.7353188750057598,2.0953510985159713,0.2503232611240354,0.025032326112403542
h2+3,True,300,200,10.53772173627191,9.884885619758279,2.0953510985159713,0.5854289853484395,0.05854289853484394
h2+3,True,400,200,19.254721670273856,18.745353682374116,2.0953510985159713,1.0697067594596588,0.10697067594596588
h2+3,True,500,200,30.732489890345406,35.617492400997435,2.0953510985159713,1.7073605494636337,0.17073605494636337
h2+3+4,False,100,200,1.6880029792463658,1.9732205729960697,2.2790818140734577,0.09377794329146476,0.009377794329146476
h2+3+4,False,200,200,8.19304230597044,6.4252503957395675,2.2790818140734577,0.45516901699835777,0.04551690169983578
h2+3+4,False,300,200,20.642941581656835,19.29834640111949,2.2790818140734577,1.1468300878698243,0.11468300878698243
h2+3+4,False,400,200,39.76648326615568,40.821614817621594,2.2790818140734577,2.2092490703419823,0.22092490703419823
h2+3+4,False,500,200,66.12764161816672,75.16475393262226,2.2790818140734577,3.6737578676759286,0.36737578676759286
h2+3+4,True,100,200,1.3895264000887613,1.5671175936149666,2.2897091963175997,0.07719591111604229,0.007719591111604229
h2+3+4,True,200,200,6.794194132595246,5.799883874868101,2.2897091963175997,0.37745522958862476,0.03774552295886248
h2+3+4,True,300,200,17.192369132271327,15.59268439574953,2.2897091963175997,0.9551316184595182,0.09551316184595182
h2+3+4,True,400,200,33.22072463570546,33.41469991674967,2.2897091963175997,1.8455958130947479,0.18455958130947478
h2+3+4,True,500,200,55.373866505353966,63.048548676750215,2.2897091963175997,3.076325916964109,0.3076325916964109
