vertices,remove_ratio_target,hop_key,use_reduction,best_mean,best_std,n_graphs_with_sc
100,0.0,h2,False,1.3036546832252676,0.004516472683342262,10
100,0.0,h2,True,1.3067243576404413,0.007010592743478491,10
100,0.0,h3,False,1.3358239487916792,0.01011423217031087,10
100,0.0,h3,True,1.3484992237593345,0.011557920754217054,10
100,0.0,h4,False,1.3558402366960225,0.010526057549994035,10
100,0.0,h4,True,1.366267351851613,0.008645582808733576,10
100,0.0,h2+3,False,1.334678391150668,0.009432121575739121,10
100,0.0,h2+3,True,1.3464878849743322,0.013596101653886453,10
100,0.0,h2+3+4,False,1.35598794463112,0.01160027347649407,10
100,0.0,h2+3+4,True,1.3699357209305443,0.005991707683982664,10
100,0.1,h2,False,1.4675511734139577,0.023561952045290695,10
100,0.1,h2,True,1.4664105404333512,0.013499810571367354,10
100,0.1,h3,False,1.4688741101243716,0.0183069871321186,10
100,0.1,h3,True,1.4773927969732739,0.01604909175068142,10
100,0.1,h4,False,1.4945894406404845,0.01966254681572324,9
100,0.1,h4,True,1.496754999026333,0.02147178509547962,9
100,0.1,h2+3,False,1.4756578336069377,0.020695898933302224,10
100,0.1,h2+3,True,1.4808106868374202,0.01644130591141311,10
100,0.1,h2+3+4,False,1.4977004062375363,0.019785415979851742,9
100,0.1,h2+3+4,True,1.497715599327348,0.0248666140586839,9
100,0.3,h2,False,2.1065761207928277,0.13534209693705396,10
100,0.3,h2,True,2.0819062182752353,0.08958496378506701,10
100,0.3,h3,False,2.00199033444813,0.07523453990687991,10
100,0.3,h3,True,2.060913695544042,0.10645185765909754,10
100,0.3,h4,False,2.27031832623855,0.23082359650482653,7
100,0.3,h4,True,2.2696024777428114,0.18812689230888668,9
100,0.3,h2+3,False,1.996363228555904,0.07978260892070853,10
100,0.3,h2+3,True,2.0863624437312245,0.09093411289345647,10
100,0.3,h2+3+4,False,2.2619850310649245,0.2571246818895334,6
100,0.3,h2+3+4,True,2.2687106243669737,0.20642826768992506,9
100,0.5,h2,False,2.709884055120427,0.19157932323774743,10
100,0.5,h2,True,2.771908970530359,0.29942515405939646,10
100,0.5,h3,False,2.6688884793017023,0.19324194870719633,10
100,0.5,h3,True,2.99611533537914,0.3260385092327383,10
100,0.5,h4,False,3.0069485509409684,,1
100,0.5,h2+3,False,2.7014777566469066,0.23718567818380215,10
100,0.5,h2+3,True,3.0239843460580316,0.3476589045281552,10
100,0.5,h2+3+4,False,2.9942195683920954,0.05819492035166358,2
200,0.0,h2,False,1.2443501396625645,0.002827634246912593,10
200,0.0,h2,True,1.244648742847379,0.007092701200050094,10
200,0.0,h3,False,1.2881401253387477,0.011548676200852648,10
200,0.0,h3,True,1.2952509001157178,0.0066663514031127915,10
200,0.0,h4,False,1.3403824466942424,0.011160002971251139,10
200,0.0,h4,True,1.3435932902963488,0.0068193670656031356,10
200,0.0,h2+3,False,1.2928740052621985,0.008022540425242985,10
200,0.0,h2+3,True,1.2992596550312967,0.008854431430805939,10
200,0.0,h2+3+4,False,1.3403684345185778,0.010956470799711552,10
200,0.0,h2+3+4,True,1.3454662615768282,0.003645187856142291,10
200,0.1,h2,False,1.3926359854946808,0.015335720203024946,10
200,0.1,h2,True,1.3927425945059013,0.010928809951838408,10
200,0.1,h3,False,1.3936058433053249,0.01223804500074463,10
200,0.1,h3,True,1.3984751604563868,0.01665751545055787,10
200,0.1,h4,False,1.4067364900199129,0.016867454844223057,10
200,0.1,h4,True,1.4071696607854127,0.01602165140987386,10
200,0.1,h2+3,False,1.3892140721421242,0.011697955914596707,10
200,0.1,h2+3,True,1.4012568224745754,0.019626290893398266,10
200,0.1,h2+3+4,False,1.41015569935417,0.01707094399577442,10
200,0.1,h2+3+4,True,1.4117088896625014,0.016861169045579254,10
200,0.3,h2,False,2.205805691868085,0.32897276333156167,10
200,0.3,h2,True,2.0383200559316768,0.14681208410092725,10
200,0.3,h3,False,1.9738092401476017,0.1814819072610009,10
200,0.3,h3,True,1.976489800565414,0.12167090870997156,10
200,0.3,h4,False,2.050019541371454,0.0950532242551672,5
200,0.3,h4,True,1.987475661403804,0.14551851927172998,10
200,0.3,h2+3,False,1.987457251267228,0.13313237668620184,10
200,0.3,h2+3,True,1.9628980165180114,0.10461580235339742,10
200,0.3,h2+3+4,False,2.0650675869132793,0.06906617272899171,3
200,0.3,h2+3+4,True,1.9948520146177013,0.13403446557004853,10
200,0.5,h2,False,2.8772594531022424,0.1547066874402446,8
200,0.5,h2,True,2.6651468475230087,0.24034275804309252,10
200,0.5,h3,False,2.77686655511207,0.18339281228331558,9
200,0.5,h3,True,2.6963204928156475,0.20407804714957242,10
200,0.5,h4,True,2.6165392789605786,0.24131737001808562,3
200,0.5,h2+3,False,2.9037496985767888,0.3069345368609814,7
200,0.5,h2+3,True,2.698579082369017,0.22809023514165902,10
