vertices,remove_ratio_target,hop_key,use_reduction,k,best_mean,best_std,sc_frac,n_graphs
100,0.0,h2,False,1,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,False,2,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,False,3,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,False,4,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,False,5,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,True,1,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,True,2,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,True,3,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,True,4,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2,True,5,1.3130907768157762,0.00804034269586623,1.0,10
100,0.0,h2+3,False,1,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,False,2,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,False,3,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,False,4,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,False,5,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,True,1,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,True,2,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,True,3,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,True,4,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3,True,5,1.3540952741702714,0.01031064196896632,1.0,10
100,0.0,h2+3+4,False,1,,,0.0,10
100,0.0,h2+3+4,False,2,,,0.0,10
100,0.0,h2+3+4,False,3,,,0.0,10
100,0.0,h2+3+4,False,4,,,0.0,10
100,0.0,h2+3+4,False,5,,,0.0,10
100,0.0,h2+3+4,True,1,,,0.0,10
100,0.0,h2+3+4,True,2,,,0.0,10
100,0.0,h2+3+4,True,3,,,0.0,10
100,0.0,h2+3+4,True,4,,,0.0,10
100,0.0,h2+3+4,True,5,,,0.0,10
100,0.0,h3,False,1,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,False,2,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,False,3,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,False,4,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,False,5,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,True,1,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,True,2,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,True,3,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,True,4,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h3,True,5,1.356084130992461,0.008079847198497825,1.0,10
100,0.0,h4,False,1,,,0.0,10
100,0.0,h4,False,2,,,0.0,10
100,0.0,h4,False,3,,,0.0,10
100,0.0,h4,False,4,,,0.0,10
100,0.0,h4,False,5,,,0.0,10
100,0.0,h4,True,1,,,0.0,10
100,0.0,h4,True,2,,,0.0,10
100,0.0,h4,True,3,,,0.0,10
100,0.0,h4,True,4,,,0.0,10
100,0.0,h4,True,5,,,0.0,10
100,0.1,h2,False,1,1.3426340468173765,0.010861431504639817,1.0,10
100,0.1,h2,False,2,1.3426340468173765,0.010861431504639817,1.0,10
100,0.1,h2,False,3,1.3426340468173765,0.010861431504639817,1.0,10
100,0.1,h2,False,4,1.3426340468173765,0.010861431504639817,1.0,10
100,0.1,h2,False,5,1.3426340468173765,0.010861431504639817,1.0,10
100,0.1,h2,True,1,1.3472318983485612,0.007683024822145278,1.0,10
100,0.1,h2,True,2,1.3472318983485612,0.007683024822145278,1.0,10
100,0.1,h2,True,3,1.3472318983485612,0.007683024822145278,1.0,10
100,0.1,h2,True,4,1.3472318983485612,0.007683024822145278,1.0,10
100,0.1,h2,True,5,1.3472318983485612,0.007683024822145278,1.0,10
100,0.1,h2+3,False,1,1.3796541847041799,0.012460723285452327,1.0,10
100,0.1,h2+3,False,2,1.3796541847041799,0.012460723285452327,1.0,10
100,0.1,h2+3,False,3,1.3796541847041799,0.012460723285452327,1.0,10
100,0.1,h2+3,False,4,1.3796541847041799,0.012460723285452327,1.0,10
100,0.1,h2+3,False,5,1.3796541847041799,0.012460723285452327,1.0,10
100,0.1,h2+3,True,1,1.3795105419272031,0.015112182108442581,1.0,10
100,0.1,h2+3,True,2,1.3795105419272031,0.015112182108442581,1.0,10
100,0.1,h2+3,True,3,1.3795105419272031,0.015112182108442581,1.0,10
