graph_id,vertices,remove_ratio_target,hop_key,rep,apsp_sum_off,apsp_sum_on,elapsed_sec_off,elapsed_sec_on,ok_off,ok_on,qubo_vars_total_off,qubo_vars_total_on,strongly_connected_off,strongly_connected_on,both_sc,diff_apsp,diff_time,ratio_time,diff_qubo_vars
v100_s0_p0,100,0.0,h2,0,1.3196556036556053,1.3196556036556053,2.0423264169949107,2.136826707981527,True,True,284,284,True,True,True,0.0,0.09450029098661616,1.046270904689988,0
v100_s0_p0,100,0.0,h3,0,1.3573333333333335,1.3573333333333335,2.596122542017838,2.67029020798509,True,True,284,284,True,True,True,0.0,0.0741676659672521,1.0285686306277382,0
v100_s0_p0,100,0.0,h4,0,,,11.456169207987841,11.76297120799427,True,True,3939,3939,False,False,False,,0.306802000006428,1.0267805052837828,0
v100_s0_p0,100,0.0,h2+3,0,1.3514189514189516,1.3514189514189516,2.6580852500046603,2.697057124983985,True,True,284,284,True,True,True,0.0,0.03897187497932464,1.014661634715913,0
v100_s0_p0,100,0.0,h2+3+4,0,,,12.566463916999055,12.792697124998085,True,True,3939,3939,False,False,False,,0.22623320799903013,1.0180029330043272,0
v100_s0_p10,100,0.1,h2,0,1.3547279140612476,1.3449863716530384,1.9439632919966243,1.8694777080090716,True,True,256,254,True,True,True,-0.009741542408209236,-0.07448558398755267,0.9616836468598904,-2
v100_s0_p10,100,0.1,h3,0,1.3839693763027057,1.3972960157126806,2.371184124989668,2.206737875007093,True,True,256,254,True,True,True,0.013326639409974916,-0.16444624998257495,0.9306480470033969,-2
v100_s0_p10,100,0.1,h4,0,,,8.092565792001551,8.104042332997778,True,True,3033,3032,False,False,False,,0.011476540996227413,1.0014181585038913,-1
v100_s0_p10,100,0.1,h2+3,0,1.3762187349687298,1.3678248356581661,2.3642734170134645,2.3145120829867665,True,True,256,254,True,True,True,-0.008393899310563668,-0.04976133402669802,0.9789528006073188,-2
v100_s0_p10,100,0.1,h2+3+4,0,,,8.788356834003935,8.87524554200354,True,True,3033,3032,False,False,False,,0.08688870799960569,1.0098867979123716,-1
v100_s0_p30,100,0.3,h2,0,1.4764291726791763,1.5104868672292886,1.4968392500013579,1.1540642080071848,True,True,199,182,True,True,True,0.034057694550112316,-0.3427750419941731,0.7710007657843939,-17
v100_s0_p30,100,0.3,h3,0,1.5045142150217905,1.514445854650397,1.695866666996153,1.349206208018586,True,True,199,182,True,True,True,0.009931639628606437,-0.34666045897756703,0.7955850741546809,-17
v100_s0_p30,100,0.3,h4,0,,,3.4359445420268457,3.3292603750014678,True,True,1624,1606,False,False,False,,-0.10668416702537797,0.9689505561802678,-18
v100_s0_p30,100,0.3,h2+3,0,1.5136207056131281,1.5109404178873833,1.8008835839864332,1.4293051669956185,True,True,199,182,True,True,True,-0.002680287725744801,-0.37157841699081473,0.7936688299594085,-17
v100_s0_p30,100,0.3,h2+3+4,0,,,4.0143412920006085,3.830503459001193,True,True,1624,1606,False,False,False,,-0.1838378329994157,0.9542047325757403,-18
v100_s0_p50,100,0.5,h2,0,2.0401119850968428,1.9785851796912488,0.6116148750006687,0.3980997500184458,True,True,142,94,True,True,True,-0.061526805405593965,-0.21351512498222291,0.6508993915787455,-48
v100_s0_p50,100,0.5,h3,0,1.8700001042728323,1.87396288587956,0.7911009580129758,0.5043455840204842,True,True,142,94,True,True,True,0.0039627816067278054,-0.2867553739924915,0.6375236673802788,-48
v100_s0_p50,100,0.5,h4,0,,,0.8996309580106754,0.7474873749888502,True,True,617,509,False,False,False,,-0.15214358302182518,0.8308822282436175,-108
v100_s0_p50,100,0.5,h2+3,0,1.9626310014340447,1.9133215496624645,0.8401978750189301,0.49336724999011494,True,True,142,94,True,True,True,-0.04930945177158019,-0.3468306250288151,0.5872036393557877,-48
v100_s0_p50,100,0.5,h2+3+4,0,,,1.0308136660023592,0.830887874995824,True,True,617,509,False,False,False,,-0.1999257910065353,0.8060505039849969,-108
v100_s1_p0,100,0.0,h2,0,1.3002646304312957,1.3002646304312957,2.1263897090102546,2.194393415993545,True,True,282,282,True,True,True,0.0,0.06800370698329061,1.031980829617043,0
v100_s1_p0,100,0.0,h3,0,1.3628601090267742,1.3628601090267742,2.7011375830043107,2.7587858749902807,True,True,282,282,True,True,True,0.0,0.05764829198596999,1.0213422271966803,0
v100_s1_p0,100,0.0,h4,0,,,11.526351625012467,11.66832341699046,True,True,3880,3880,False,False,False,,0.14197179197799414,1.0123171491376257,0
