run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p10__h3__red__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h3,3,True,True,0,2002666364,ok,,,0.6406600420014001,,2026-08-29T17:55:40+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021016603568568826,99,26,0,1.0,,99.0,99.0,514.0,99.0,181.625,2.018903368953955,1.0,66.0,,True,True
v100_s0_p10__h4__nored__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h4,4,False,True,0,2002666364,ok,,,1.490636624977924,,2026-08-29T17:55:41+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021587504306808114,99,26,0,3.0,8.0,135.0,132.0,629.0,133.0,161.8125,,0.0,70.0,,False,True
v100_s0_p10__h4__red__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h4,4,True,True,0,2002666364,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=66, edges=99)
",0.8617637919960544,,2026-08-29T17:55:41+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00019679201068356633,99,26,0,,,,,,,163.171875,,,,,False,False
v100_s0_p10__h2+3__nored__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h2+3,2+3,False,True,0,2002666364,ok,,,0.8523194580338895,,2026-08-29T17:55:42+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002300000051036477,99,26,0,1.0,,133.0,133.0,615.0,133.0,186.921875,2.028948497696272,0.39,66.0,-323.0,True,True
v100_s0_p10__h2+3__red__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h2+3,2+3,True,True,0,2002666364,ok,,,0.6844319590018131,,2026-08-29T17:55:42+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021254201419651508,99,26,0,1.0,,99.0,99.0,514.0,99.0,184.109375,2.0760237246248856,1.0,66.0,,True,True
v100_s0_p10__h2+3+4__nored__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h2+3+4,2+3+4,False,True,0,2002666364,ok,,,1.8816156669636257,,2026-08-29T17:55:43+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002139579737558961,99,26,0,3.0,8.0,135.0,132.0,634.0,133.0,162.828125,,0.0,74.0,,False,True
v100_s0_p10__h2+3+4__red__r0,v100_s0_p10,100,0,0.1,0.10135135135135136,100,133,h2+3+4,2+3+4,True,True,0,2002666364,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=66, edges=99)
",1.105405125010293,,2026-08-29T17:55:43+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002175410045310855,99,26,0,,,,,,,163.203125,,,,,False,False
v100_s0_p30__h2__nored__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h2,2,False,True,0,822628483,ok,,,0.46096816699719056,,2026-08-29T17:55:44+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00019862496992573142,33,30,0,1.0,,111.0,111.0,144.0,111.0,159.671875,2.7906920713151577,0.06,22.0,-100.0,True,True
v100_s0_p30__h2__red__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h2,2,True,True,0,822628483,ok,,,0.16764016699744388,,2026-08-29T17:55:44+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00019062496721744537,33,30,0,1.0,,33.0,33.0,63.0,33.0,155.359375,2.716002207209742,1.0,22.0,,True,True
v100_s0_p30__h3__nored__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h3,3,False,True,0,822628483,ok,,,0.45326387498062104,,2026-08-29T17:55:44+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002322500222362578,33,30,0,1.0,,111.0,111.0,324.0,111.0,159.171875,2.750716687337919,0.06,22.0,-113.0,True,True
