graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v300_s1_p10,300,0.1,v300_s1_p10__h4__red__r0,h4,True,0,1.7722043716344085,206.0,9.27390666701831,1011001110010110100100100001000101010011110101101101101001010010100101010110100011011000101001100111110101101101111001101101010110001011011100110111011110000101010101100101001110001000001101000101001101001011010000010110101000000010011101100110100010001100100001001000110101000101100101001011110110100011011101110010111111010011100010001001101100001111101001100110001011110101110011010010110000010111110
v300_s0_p30,300,0.3,v300_s0_p30__h2__red__r0,h2,True,0,2.761291781342171,32.0,0.26164133299607784,0110100110110100110100110010010101010110111001010101010011010100111001110001010110100001111010010011111001111010010101011011011010100101100000001001111010101010100101110001111011110010001010000100111001001010111101000000011010011101001101100000101110010101101010001111010100101001100100111011011011001011010111001101
v300_s1_p30,300,0.3,v300_s1_p30__h2+3__red__r0,h2+3,True,0,2.5603543369853834,40.0,0.45726370898773894,10101010110111101001010100101001011011001000010110110001000111011001010101001010000011010100101001010101001111010110101101111010111010111000111111110011011110111010101101000111111000101101011001101010001101101010010101001001010111011011001011111000100110010101101110000010110010111011000110101110100111010011110101010011
v300_s0_p50,300,0.5,v300_s0_p50__h3__red__r0,h3,True,0,2.978524875665319,32.0,0.32654587499564514,1001011001010011001011001101101010101010111000101100101101001010100110101110101001011111111100011101110110000101101010110100100101011010010111010110000101010101011101110110110101101001010101111011000110110101001101000111100101100010110100011111010001101010010100110000101011010110011101000100100100110100101000110010
v300_s1_p50,300,0.5,v300_s1_p50__h2__red__r0,h2,True,0,2.617814432669898,40.0,0.3065789999673143,10101010110111010110101100100110100101010111010100001110111001100110011010110011000101010010100110101101001111011000101010000101000101011110000010111010101110111010101101011000010111010011010111010010001101101010010101010100100000100110110100000010101001101101001110000010110010100011111000110000100111010011000011101101
v400_s0_p0,400,0.0,v400_s0_p0__h4__nored__r0,h4,False,0,1.6587028177897114,396.0,37.79197266604751,0101000111100111001101100101100001110000101100100011101001011111110110001110101100101100001011101100111010100110110110010111111001111010110010100100111001110101011100010101010011011101001100101101010111110010110011000101110001110101001110110001000011010101111111011001111101001010010010001010001010100010010111101000100111110001011101011100101010101000110110110110100110111110101010010000111101000100111101010110100100101100010100100110110011110110101100000001101011011011000101110000000100001100010101100111101101101011000001011000100110100101010111011001101101010011100110100111100001000111100001
v400_s1_p0,400,0.0,v400_s1_p0__h2+3+4__red__r0,h2+3+4,True,0,1.6224903980544225,396.0,55.62946516595548,1010110110100110101001100101010101001001110110001101101101000111011110101010010110010111010110000101111011101001110100101010010110000010000111111011010101101111011110001011011100000110100010010100010001100001110011101000101110011000100010100101101101010110101011100111011110111001000100101000110010110001100111100000010111110110100000101010100101011100110010100100011101010100010111111011001001010011001010101001010000010101100010010010010100101010101010011010101011100110100100010100100100101001001001000111101101101100000011111001110110111001110010011001000010100111010001001010101000100110101101
v400_s0_p10,400,0.1,v400_s0_p10__h2+3__red__r0,h2+3,True,0,1.8363151730221055,276.0,14.010467625048477,0110110101101110110101011101101101000100110011110010100000110011000101100100010111001101011001100100110010010110100111001100111000100010111000101011010010001011111000110101100110111110101101010000101001011001011000101010001000100101011000001011111110001001101010100000101001101110101010010000010110101010100111111001010100100111000100100101110100001010010100100001100110101101011010101111101100101100110101010110010101011010111001001011010010010101001011010011000010000011000100111001010100101010111001011111111101010101100100000010000010
v400_s1_p10,400,0.1,v400_s1_p10__h2+3+4__red__r0,h2+3+4,True,0,1.8072100273938643,276.0,24.871624874998815,1011001101010100101101101000100001010110101101010110101100111101000110100100001001101011001100100101100100110111011000101010111000001001101010010011010000010111111111011011101110110110111011001110110000001110111010100101101101010001010001000100100110011001100110111001110101100101001111001011100100100111011010011011101001010010001111001101100100101100011011100001001101011110110101011011110110000100001111000100001010100101111000111011101101010111001110011110011001111011011100010100000111110111001011100100110100101101010101101111010000
v400_s0_p30,400,0.3,v400_s0_p30__h3__red__r0,h3,True,0,2.720034076403033,72.0,1.1027136250049807,0110011010110110101111000111001011001011011001010100100101001010010111110101101001101111010110011010001100101010110110011010011000010100100110110111111100011001100100100110000101001101110001110001101111011001111110101011111001010000101011101001101100101011111011111011110001111000010111011001010010100010101010101001010010011110111001001111000100010100011101010010110111010001000000010101011010100101110110010100110011101010001101111101
v400_s1_p30,400,0.3,v400_s1_p30__h2+3+4__red__r0,h2+3+4,True,0,3.137369558098338,62.0,2.139752666989807,00101010001010101100101010101100101001001010110101001011001011011010010001001101101011001010001010110101101011010010010110100100110101101011100001101000101001010101111010010110100100001100010011110001101001011000100110011111001000010000111011010101100001101101111000001100100011001010100100010101111110101001111110000101011111110110100001011000010101001101101000110010110110101010011001100110101001000010101101011101101011000010010
v400_s0_p50,400,0.5,v400_s0_p50__h3__red__r0,h3,True,0,2.806824741259841,72.0,1.1089219579589553,1001100101001001010001100110110011001001100110101011010010101101101111001010010110010000101001100101110011010101001001011001100111001011011001001000000011100110011011011001111010111110101110001110100010100110000001010100000110101111010100010101011011010000000100000100001101011100101001100111010001011101001010010110101101111101000110110011000101110011111010110001001001001110111111101010100100100101110110010101001011101010110101111101
v400_s1_p50,400,0.5,v400_s1_p50__h2+3+4__red__r0,h2+3+4,True,0,3.12846611520674,62.0,2.121965290978551,00101010001010101100101010001000101001001010110101001011001011011010010001001100010101001010001010110101101010110100010100101000101010011011100001101000101001010101111010010110101010001100011011110001101001011001001110011111001111010001111001100101100001101101111000001100100011001010100100010101111110101011101110000101011111110110110101011000010101001101101000100010110110101100011001100110101001000010101110011101101011000010010
v500_s0_p0,500,0.0,v500_s0_p0__h2+3+4__nored__r0,h2+3+4,False,0,1.5672441566109352,496.0,88.25813324999763,1000101101010111000101000101001101001010011001110101001000111000001101001110100110100100110101110011001001111010001110000100111001101011010110100100101010001111011101110011001111010010100100100111011010000101001101000001011010010001101011111110110010000111011010000110100001010100010010011011011101000101001100101001001101111101001110111001110011110110100100100011010001101001010001100110010001010100010100100000000011001110110001001000100000010010101000110100110100011001101100100010110100010100001011100010100011000001100101010010001111010110110110001101100101011000101101010011110010100101000110001010001101110010100001010101011011001110001011011001101000010001011100101110110101000100010100111010101001011100110000101101111111011110111101010111
v500_s1_p0,500,0.0,v500_s1_p0__h4__nored__r0,h4,False,0,1.5897924187829562,496.0,89.83148754196009,1001100110110111011001001100101110010010101101001001100011010010101111001010000101000010010101010101010001010010001001100100100110110000011101010110101110101100011010101001010110110100111100101000111111010010001010011001010011101101101011110011110111000110101010111111011000000101101001101001010000000110001010100100001001011110010101111001100101001100110010000110010111011110101110110001011101111000010010001000101011100010010111010010110010110110100110100010011001000111100100010011000101010110110000000010010010011100101010110101101000001011010001011100100101011011000101000000110011000000010101101101111110011000110110100010100110100000100101001011011001100011000001010101001101010011000001101100000100001010110010010111011100010011101011011100
v500_s0_p10,500,0.1,v500_s0_p10__h2+3+4__red__r0,h2+3+4,True,0,1.780096860510414,346.0,41.124108999967575,0110110101010110010100101100010001110000011000101001110011111000110110011101010110101101011000101011010110111010001101000100110101010010100111011001001001010011001100010011011010100010100111101000101101100111010000100110011000101011000010101100011101011101011100110011110010001001111010111010010001110110101011010110010101101101101011000110111001010100000110011010101010110111010100010001101010011100001101010111001100101100111110010011101111010000110101100101001000101001101010110010101100101001101101111101000011011010100000110011010101110110001001000101101001101001101000010110110110110011110100110010011010001010101011111010101101101011010001010110011010000111111100110
v500_s1_p10,500,0.1,v500_s1_p10__h4__red__r0,h4,True,0,1.8458445209481995,346.0,39.00968079199083,0100101101100111011100110011001001000100110100101011101111011100100001000010001101101100001011010111000101100110011101100010011111100110101010000010001011011101000110111001110010101011100010100111010001010000100010100111001110111010101110100100001011010011101110001001111001010111010010100010101100110110010100011011011011100100100100101001001100010100110101111010101010100010110000101000001100010101100100110110011011100011011001100111000100110100100110011111010100010000010011101010101000110110100100110010111010111101010101011110101010101101000111110100111101000011001101001001000011100101011011001011011101111010110000110101101100100100011001101100000100110010001110010
v500_s0_p30,500,0.3,v500_s0_p30__h2+3__red__r0,h2+3,True,0,2.9711682151178525,70.0,1.2149419170455076,1001000100110111001010101010010110110010101100010001001000101010110100110111001011101100101010010001010111011010100011010111001001010011010110110010010011010011100101100100010100100010101000101010101000010110101000001101011011101100101010011011011010110011010100010010010100001010110111000101011111011100100101111001101111011000000101110111100001011011000111110000111000100101001110110100011010100110101100101011100001011010100011101000110101001101101010110001010110111101010110101000101101101101010011111010101111011110100001000001011
v500_s1_p30,500,0.3,v500_s1_p30__h2+3+4__red__r0,h2+3+4,True,0,2.9039961708411965,76.0,2.7332084579975344,0100101001101100110110101100010100110110010010101001010111011010101101100000001010100100101101010100111101110101001110000100010111000110110001001010001000100101101100100001101110101010101101101011010011011010011010101010101010100110101100110010000011001101010111011101100110101001001011010101001101110100010111011010101010010100010001000111110110100100010101111010111100100101010111010110111010111111110011111001110100101011111111011010101110000001101000110111001001110100010010010100001000000101001010110110010101010000000110101101000101
v500_s0_p50,500,0.5,v500_s0_p50__h3__red__r0,h3,True,0,2.93240996814747,70.0,1.3028141669929028,1001000100110111010010110010010111001110101100010001000110101010110100110111001100010110001010010001001011011001011000101011001001010011010110110011010100101011010101111011100101011110111000101011101000010110101000001101011011111111010101110110100101001011010101011010001000001010110111000101011111011100100101111001010000100100100101101000100110100100101000110001011000100101001110110101100101000010101100101010011110110101011011101000110101010101100101010001010110111010101001010111010010101110101110111010101110101111011001000001011
v500_s1_p50,500,0.5,v500_s1_p50__h3__red__r0,h3,True,0,2.8160141671021806,76.0,1.1038701249635778,0100110110010100101001010010010101001001011101000100110111101010101101100011110110011011111001011111011010001001110001110100010111000100110010110101001000101010101100100010010001010111010101100111101101010010100010100101010101010111001101001001000011001110011111101010010110101010010100110110110010000010001010011010111101110101100010111000001001011010110101111101100101011010110110011001011010000000000101010011010100101011110000100101010001111101001100110111101100001011001001101011001001001111001101010101011011010010001010101101111101
