hop_key,use_reduction,vertices,n_runs,pred_sec_per_run,measured_sec_per_run,exponent_b,total_hours_sequential,total_hours_parallel
h2,False,100,200,0.4427128926195144,0.5170771460107062,1.7207567136447373,0.024595160701084133,0.006148790175271033
h2,False,200,200,1.4592226282626066,1.216581505133945,1.7207567136447373,0.08106792379236703,0.02026698094809176
h2,False,300,200,2.9317826601455503,2.4652367345042876,1.7207567136447373,0.16287681445253058,0.040719203613132644
h2,False,400,200,4.809732705624344,4.924786838630098,1.7207567136447373,0.2672073725346858,0.06680184313367145
h2,False,500,200,7.061216009981157,8.422350583496154,1.7207567136447373,0.3922897783322865,0.09807244458307163
h2,True,100,200,0.26342895903026503,0.3127741458665696,1.7377034596184853,0.014634942168348057,0.0036587355420870144
h2,True,200,200,0.8785457468733815,0.7325650727507309,1.7377034596184853,0.04880809704852119,0.012202024262130297
h2,True,300,200,1.7772919372349454,1.389106927003013,1.7377034596184853,0.09873844095749697,0.024684610239374242
h2,True,400,200,2.9299839781875803,3.148499333372456,1.7377034596184853,0.16277688767708778,0.040694221919271946
h2,True,500,200,4.31783567661193,5.192801062745275,1.7377034596184853,0.2398797598117739,0.059969939952943474
h3,False,100,200,0.6571202305206026,0.7506122917548055,1.991233474480087,0.03650667947336681,0.009126669868341703
h3,False,200,200,2.612557406169549,2.278577599005075,1.991233474480087,0.14514207812053048,0.03628551953013262
h3,False,300,200,5.857396881387864,4.855782609251037,1.991233474480087,0.32541093785488134,0.08135273446372034
h3,False,400,200,10.386921423989511,10.719614588619152,1.991233474480087,0.5770511902216395,0.14426279755540988
h3,False,500,200,16.19784758628084,19.00384957287315,1.991233474480087,0.8998804214600468,0.2249701053650117
h3,True,100,200,0.46619685906771435,0.5351823438759311,2.1316599106962686,0.02589982550376191,0.006474956375940477
h3,True,200,200,2.0429743635071764,1.7980342448790907,2.1316599106962686,0.11349857575039869,0.028374643937599673
h3,True,300,200,4.848747787372256,3.824808536504861,2.1316599106962686,0.2693748770762364,0.0673437192690591
h3,True,400,200,8.95275068625319,9.622330291502294,2.1316599106962686,0.4973750381251772,0.1243437595312943
h3,True,500,200,14.405743582881334,16.8176120105054,2.1316599106962686,0.8003190879378519,0.20007977198446297
h4,False,100,200,0.8936470984334852,1.0823916667577578,2.1891655206344156,0.04964706102408251,0.012411765256020628
h4,False,200,200,4.075402774532421,3.3831172395075555,2.1891655206344156,0.22641126525180116,0.05660281631295029
h4,False,300,200,9.90064411034555,7.194072869991942,2.1891655206344156,0.550035783908086,0.1375089459770215
h4,False,400,200,18.585533152607024,20.818693765511853,2.1891655206344156,1.0325296195892792,0.2581324048973198
h4,False,500,200,30.291939659265214,37.0145390416219,2.1891655206344156,1.682885536625845,0.42072138415646126
h4,True,100,200,0.6913121527453693,0.8351467396278167,2.247910842920812,0.03840623070807607,0.009601557677019017
h4,True,200,200,3.2836947818147895,2.6159770991216647,2.247910842920812,0.18242748787859941,0.045606871969649854
h4,True,300,200,8.169589470749996,6.623774984378542,2.247910842920812,0.4538660817083331,0.11346652042708327
h4,True,400,200,15.597369983005732,16.403124442746048,2.247910842920812,0.8665205546114296,0.2166301386528574
h4,True,500,200,25.757069103797505,31.387458166755096,2.247910842920812,1.4309482835443057,0.3577370708860764
h2+3,False,100,200,0.6869915725561199,0.7938743647537194,2.006613694941859,0.038166198475339995,0.009541549618834999
h2+3,False,200,200,2.7605926122519833,2.360398781253025,2.006613694941859,0.1533662562362213,0.038341564059055325
h2+3,False,300,200,6.228012182256475,5.00429565662489,2.006613694941859,0.3460006767920264,0.0865001691980066
h2+3,False,400,200,11.09310779820041,12.271265625000524,2.006613694941859,0.6162837665666895,0.15407094164167237
h2+3,False,500,200,17.358579891345848,19.76519635412842,2.006613694941859,0.9643655495192138,0.24109138737980346
h2+3,True,100,200,0.4812906897444333,0.5579221147345379,2.1534861886420877,0.026738371652468517,0.006684592913117129
h2+3,True,200,200,2.1412698335053113,1.8499631768791005,2.1534861886420877,0.11895943519473952,0.02973985879868488
h2+3,True,300,200,5.127214572934979,3.9226489218781353,2.1534861886420877,0.2848452540519433,0.07121131351298582
h2+3,True,400,200,9.52654310083276,11.044791859501856,2.1534861886420877,0.5292523944907088,0.1323130986226772
h2+3,True,500,200,15.403865263574662,17.340106625139015,2.1534861886420877,0.8557702924208146,0.21394257310520365
h2+3+4,False,100,200,1.0929170247671127,1.3277562865041546,2.1512315449063037,0.06071761248706181,0.015179403121765453
h2+3+4,False,200,200,4.85481196719334,3.984871473883686,2.1512315449063037,0.2697117759551856,0.0674279439887964
h2+3+4,False,300,200,11.614097967304902,8.14650289061683,2.1512315449063037,0.6452276648502723,0.16130691621256807
h2+3+4,False,400,200,21.56540588415303,26.840530906243657,2.1512315449063037,1.1980781046751683,0.29951952616879207
h2+3+4,False,500,200,34.852466100308035,40.03512946898991,2.1512315449063037,1.9362481166837797,0.48406202917094493
h2+3+4,True,100,200,0.8340937161443966,1.0057872811230482,2.19292625004176,0.04633853978579981,0.011584634946449953
h2+3+4,True,200,200,3.8137430471012093,3.055964776118344,2.19292625004176,0.21187461372784497,0.05296865343196124
h2+3+4,True,300,200,9.279115344338148,7.314856801880524,2.19292625004176,0.515506408018786,0.1288766020046965
h2+3+4,True,400,200,17.437652086081542,19.350171781108656,2.19292625004176,0.9687584492267522,0.24218961230668806
h2+3+4,True,500,200,28.444907108107763,33.65272547912173,2.19292625004176,1.580272617117098,0.3950681542792745
