vertices,remove_ratio_target,hop_key,use_reduction,best_mean,best_std,n_graphs_with_sc
100,0.0,h2,False,2.1991911927858965,0.13921531997579645,2
100,0.0,h2,True,2.104003071003076,0.09597547106543301,2
100,0.0,h3,False,1.7969022744931855,0.035671382272576255,2
100,0.0,h3,True,1.772999680033771,0.007444340753605048,2
100,0.0,h4,False,1.8182674544871587,0.045150540837589175,2
100,0.0,h4,True,1.7993692734033706,0.054923504679937965,2
100,0.0,h2+3,False,1.7757291937860158,0.005278526699873066,2
100,0.0,h2+3,True,1.7625050101413762,0.031341334646755724,2
100,0.0,h2+3+4,False,1.7965860929194322,0.06903168809300948,2
100,0.0,h2+3+4,True,1.7750171156004524,0.06124305068757568,2
100,0.1,h2,False,2.609645323832609,0.36339501002240227,2
100,0.1,h2,True,2.5499288693332827,0.41224686440061525,2
100,0.1,h3,False,2.0539263837065787,0.015403129914014215,2
100,0.1,h3,True,2.11417850013673,0.13473938267555663,2
100,0.1,h4,False,2.49538664947155,,1
100,0.1,h4,True,2.372373890625461,,1
100,0.1,h2+3,False,2.054570702260216,0.03623526919222732,2
100,0.1,h2+3,True,2.1367515671345947,0.0858821384908875,2
100,0.1,h2+3+4,False,2.3736469348964793,,1
100,0.1,h2+3+4,True,2.2805215856385592,,1
100,0.3,h2,False,2.8264839844406833,0.05061740896539829,2
100,0.3,h2,True,2.798660363508197,0.11689628567803055,2
100,0.3,h3,False,2.809923358782054,0.08373087773926301,2
100,0.3,h3,True,2.826799591661686,0.19074643678380157,2
100,0.3,h2+3,False,2.8748572127046748,0.059627545340900395,2
100,0.3,h2+3,True,2.7854253368189674,0.24925846911545543,2
100,0.5,h2,False,2.7948366569466536,0.08360067974041364,2
100,0.5,h2,True,2.8375836217491095,0.20986513871097554,2
100,0.5,h3,False,2.7030525211373186,0.23486906575862057,2
100,0.5,h3,True,2.7854253368189674,0.24925846911545543,2
100,0.5,h2+3,False,2.855765690825314,0.04357644620066818,2
100,0.5,h2+3,True,2.8267995916616813,0.19074643678380865,2
200,0.0,h2,False,2.2195574948933547,,1
200,0.0,h2,True,2.2304689312426316,,1
200,0.0,h3,False,1.7222028743384699,0.015640056845896932,2
200,0.0,h3,True,1.6757855914511266,0.005009015244709558,2
200,0.0,h4,False,1.710550865811177,0.015353438176541471,2
200,0.0,h4,True,1.7475665571095027,0.04521745718435018,2
200,0.0,h2+3,False,1.718082816005859,0.0022168435460023137,2
200,0.0,h2+3,True,1.7275865876978398,0.00443804083977113,2
200,0.0,h2+3+4,False,1.7158662260636195,0.034560243748776684,2
200,0.0,h2+3+4,True,1.7319524927142678,,1
200,0.1,h2,False,2.970370555269701,,1
200,0.1,h2,True,2.4450944967160484,,1
200,0.1,h3,False,1.9625914021325892,0.014108679063814014,2
200,0.1,h3,True,1.916109510585116,0.007707388476354265,2
200,0.1,h4,True,1.8915677714130141,0.017103737104238997,2
200,0.1,h2+3,False,1.9882936116150953,0.08795089189209891,2
200,0.1,h2+3,True,1.9260775828391044,0.01248249341549031,2
200,0.1,h2+3+4,True,1.8904098221491084,0.005668945664430295,2
200,0.3,h2,False,3.4703757000606283,0.36480395900215584,2
200,0.3,h2,True,3.1967634112151995,0.17664018106260757,2
200,0.3,h3,False,3.720030398314945,,1
200,0.3,h3,True,3.0518354041661624,0.10147845291816505,2
